date,grid_cost_yuan,base_cost_yuan,breach_cost_yuan,overbuy_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_kwh,start_soc_kwh,end_soc_kwh,unused_plan_kwh,curtailed_pv_kwh,charge_kwh,discharge_kwh,planned_purchase_kwh,planned_cost_yuan,decision_day_planned_purchase_kwh,final_commitment_kwh,reserve_kwh,reserve_effective_kwh,reserve_00_kwh,window_residual_00_kwh,reserve_06_kwh,window_residual_06_kwh,reserve_12_kwh,window_residual_12_kwh,reserve_18_kwh,window_residual_18_kwh,path_up_kwh,path_down_kwh,adjusted_kwh,emergency_slots,reversal_slots,down_slots,below_min_kwh,chain_misprice_yuan,cost_identity_residual_yuan
2025-02-11,51890.8637443,48759.1486602,918.572054627,2213.14302949,93.3662671469,51984.2300115,19.9330203132,9500.85261775,9493.36582564,187.775693352,0,22719.7012284,18409.6961079,80825.0207807,50596.2927695,80833.6230669,79698.4449269,808.788851481,808.788851481,808.788851481,-751.84417805,1132.09424843,581.079014838,643.290386294,657.317607179,251.492608438,388.366316312,1767.69383428,2894.26968808,4661.96352236,1,2,32,2894.26968808,0,2.70006239589e-12
2025-02-12,52836.9451944,48721.4747402,1460.75546895,2654.71498526,200.03822283,53036.9834172,47.2393711944,9493.36582564,9739.8133942,366.92633131,0,23369.4426418,18707.4457282,82296.1748603,51642.9856781,82333.9989437,80248.4200071,760.490578665,760.490578665,760.490578665,-2151.61946556,1119.41818429,2157.60287144,654.512163002,1158.48805249,254.444240369,262.063686843,2406.25732304,4454.01217627,6860.26949931,3,29,71,4454.01217627,0,7.53175299906e-12
2025-02-13,50117.3816571,47660.5036445,1432.9781136,1023.89989903,21.5451799642,50138.9268371,4.91955245214,9739.8133942,9858.93215396,1298.4192409,216.334213809,21319.5770877,17161.6505573,80805.5431649,50523.1857039,80797.8170588,76997.2394494,712.192305849,712.192305849,712.192305849,-4911.58751243,1132.61947719,-1637.43226277,715.087313738,-1199.4365496,259.311071447,68.3180922874,660.397794033,4468.70150961,5129.09930364,1,2,49,4466.09489566,0,-2.00017780116e-12
2025-02-14,20596.8537551,18945.987289,109.239044488,1541.62742164,0,20596.8537551,0,9858.93215396,9997.55781706,518.209011803,3121.76057036,19575.657318,15731.5193308,36662.671927,19164.465378,36471.4957207,37285.909386,663.894033032,663.894033032,663.894033032,-571.58669519,1132.44440094,-30.6592071264,695.830744885,-704.256263459,257.934763748,-12.3349467286,1134.77594883,511.53848976,1646.31443859,0,1,1,511.53848976,0,0
2025-02-15,20647.9205199,18362.2601974,236.457949029,2049.2023735,0,20647.9205199,0,9997.55781706,9588.77066584,68.4851120633,3922.86931506,19145.6947306,15875.9211679,35797.681152,18833.1846057,35800.4690952,36541.2190898,615.595760216,615.595760216,615.595760216,-538.356142211,1132.26932468,1569.04932877,676.574176032,1080.80214502,256.55845605,382.06311434,1579.62952448,836.09158659,2415.72111107,0,2,14,833.957542651,7.27595761418e-12,0
2025-02-16,52346.4955699,48921.3350094,1351.77119317,2073.38936729,183.338201951,52529.8337718,40.0923356185,9588.77066584,9911.00439589,91.0837326928,0,22305.0962471,17777.1176031,82660.103229,51624.8773957,82842.5068372,79956.3491411,567.2974874,567.2974874,567.2974874,-2496.95367428,1132.9696297,1038.0460313,753.600451444,1048.40374363,262.063686843,37.2121032846,1711.66399996,4415.41808785,6127.08208781,2,13,72,4415.41808785,0,5.28643795406e-12
2025-02-17,50269.5053064,46441.0150513,2216.83225929,1611.65799581,46.7563284731,50316.2616349,9.98213673636,9911.00439589,9812.21889683,610.017068335,0,20362.871578,16582.8329273,81861.6247311,50874.6795699,81851.5230696,75563.9367489,549.32117844,549.32117844,549.32117844,-6239.23738329,1132.79455344,-2018.96104544,762.994446671,872.77567435,260.687379145,133.923281166,1405.9523703,7703.64035243,9109.59272272,1,12,62,7703.64035243,7.27595761418e-12,1.42108547152e-13
2025-02-18,50397.9018435,46317.8588554,785.065386396,3294.97760172,155.62323,50553.5250735,34.2066666667,9812.21889683,10131.7478514,246.61426149,0,20598.4786355,16397.1916356,76965.9320936,47887.9896282,76970.6036502,76505.082378,531.344869479,531.344869479,531.344869479,-461.404871954,1132.61947719,-1158.16944633,821.364758458,547.307605884,259.311071447,-223.486921821,2697.62772576,3158.47744137,5856.10516713,1,12,32,3158.47744137,0,-2.75690581475e-12
2025-02-19,50482.9543707,46381.0818933,677.985900737,3423.88657664,318.194189131,50801.1485598,71.6073042884,10131.7478514,9751.79041081,544.242939497,0,22094.7630602,18238.7197753,76685.7576954,47735.1708775,76672.0345879,77208.0063034,513.368560519,513.368560519,513.368560519,451.786453222,1132.44440094,751.779211597,802.690820798,-343.652529756,257.934763748,215.497641561,2798.49503171,2276.2464237,5074.7414554,2,8,16,2274.74748468,1.45519152284e-11,-1.02318153949e-12
2025-02-20,49378.980633,46858.6053715,892.765057325,1627.61020418,224.455916298,49603.4365493,47.9197088595,9751.79041081,10071.5274311,1100.02965555,0,21441.8177144,17080.1090303,78584.2921936,48644.1354861,78627.0643076,76406.9523641,495.392251558,495.392251558,495.392251558,-3022.78767212,1132.26932468,-1069.79331847,784.016883138,-541.341058517,256.55845605,-124.771197059,1124.00998373,3301.34981323,4425.35979696,1,13,46,3301.34981323,-1.45519152284e-11,3.95061761083e-12
2025-02-21,20286.7638656,18141.5821003,194.110300858,1951.07146451,0,20286.7638656,0,10071.5274311,10097.131435,296.290287583,6806.30194431,18855.6870297,15250.0628906,35679.5198139,18529.802702,35500.1232913,36268.4784044,477.415942598,477.415942598,477.415942598,-2156.96719531,1132.09424843,-2580.35496762,765.342945478,-221.7602498,255.182148351,-66.6101010861,1412.93208062,823.973490204,2236.90557083,0,1,27,823.973490204,1.09139364213e-11,0
2025-02-22,20773.1017056,18131.2170602,222.250428477,2419.63421687,0,20773.1017056,0,10097.131435,10125.1829873,469.986045598,4379.13829404,19334.4034764,15635.6204188,35465.3478894,18532.8350965,35460.4855942,36392.6702805,472.290044723,472.290044723,472.290044723,181.956618572,1119.41818429,-947.362860574,762.994446671,-288.719924004,254.444240369,-231.866400629,1817.62159409,890.299202944,2707.92079703,0,4,22,837.522273462,-7.27595761418e-12,0
2025-02-23,49304.5897659,45888.0466935,1033.7666131,2382.77645924,68.5448793474,49373.1346452,14.6338341903,10125.1829873,9902.19409685,413.76026951,0,21219.7571192,17388.6932679,77500.3402182,47933.8383516,77685.4291192,75762.0439699,467.164146847,467.164146847,467.164146847,-1766.1544055,1106.74212015,-1578.17479475,760.645947865,361.941577716,253.706332386,32.0762418671,1755.05092014,3493.34716842,5248.39808855,1,19,49,3463.63963798,0,-6.12487838225e-12
2025-02-24,47392.6476396,44776.8603513,1116.75517215,1499.03211622,277.02755272,47669.6751924,60.8489851559,9902.19409685,10139.6332151,796.967554479,133.568743524,21213.5684399,16969.2952299,75793.2637883,47010.3706956,75771.4177961,73316.9941395,462.038248972,462.038248972,462.038248972,-3198.51692892,1094.06605601,-1689.28878514,758.297449058,-190.782131097,252.968424404,-210.163257671,1311.07524889,3787.34489767,5098.42014657,2,18,55,3787.34489767,0,1.47792889038e-12
2025-02-25,46852.7331136,43427.2245777,1782.95726404,1642.55127184,290.339956562,47143.0730701,65.4233362448,10139.6332151,9931.59857101,1544.42981297,0,20862.5564433,17085.9018987,76038.3864735,46985.2299032,76041.6354842,71076.9842546,456.912351097,456.912351097,456.912351097,-6027.29789326,1081.38999187,-3980.50329248,755.948950251,-231.943677737,252.230516421,77.3212089696,1137.50950391,6098.91172276,7236.42122667,3,17,50,6088.37882158,2.18278728426e-11,-4.43378667114e-12
2025-02-26,47526.6291875,43283.4345821,210.60501152,4032.58959393,20.466666903,47547.0958544,4.67336839227,9931.59857101,10288.8582228,526.03930491,0,22207.7009847,17666.704111,71014.6579179,43704.6446051,70987.9094963,73877.2108435,451.786453222,451.786453222,451.786453222,1925.09620854,1068.71392773,1412.94082348,753.600451444,-731.432656783,251.492608438,-435.826318701,3784.80897379,922.256048207,4707.065022,2,22,31,922.256048207,-7.27595761418e-12,2.01794136956e-12
2025-02-27,46750.9004131,42603.7908379,730.445563515,3416.66401175,139.554746058,46890.4551592,31.2508374121,10288.8582228,9957.32683488,866.529705989,0,21809.1972719,17963.8280394,71564.0483721,44064.6819649,71589.2841316,71637.2323011,472.290044723,472.290044723,472.290044723,-521.859556869,1119.41818429,990.497821316,734.343882591,366.655009979,245.658238132,-63.6501018286,3081.00524987,3007.82132087,6088.82657074,3,14,44,3007.82132087,-7.27595761418e-12,-3.46744855051e-12
2025-02-28,19607.0275737,17069.1944208,369.624356838,2168.20879612,0,19607.0275737,0,9957.32683488,9843.67384662,312.274979021,7743.87424124,19655.0532524,16022.8808239,34445.6154209,17806.9269884,34271.7367294,34980.9151988,467.164146847,467.164146847,467.164146847,900.282329604,1106.74212015,-211.399309421,715.087313738,244.408361486,239.823867825,68.960017928,1727.9387567,1192.63897881,2920.57773551,0,13,31,1189.02076142,3.63797880709e-12,0
2025-03-01,18519.1978598,17531.7397543,370.728673378,616.72943214,0,18519.1978598,0,9843.67384662,9486.72499528,310.304822493,7241.89698918,18584.1940678,15374.4511612,35157.5012025,18273.1971011,35144.2283847,34420.7106517,513.368560519,513.368560519,513.368560519,-4044.1384849,1094.06605601,2541.41235688,695.830744885,326.078754847,233.989497518,506.999484825,528.348081856,1265.13863269,1793.48671454,0,13,31,1265.13863269,0,0
2025-03-02,50534.2810173,44756.469819,491.425141362,5286.38605696,1201.80035131,51736.0813686,244.513572828,9486.72499528,9680.95769316,825.482288575,0,22347.3527361,17926.5462881,74905.1988192,45739.3201017,75112.2501923,77360.0822304,495.392251558,495.392251558,495.392251558,2341.29292213,1132.26932468,1925.52483538,676.574176032,1504.57897058,252.230516421,521.43552847,4215.99661707,1761.11320588,5977.10982296,7,25,31,1761.11320588,-7.27595761418e-12,-4.54747350886e-13
2025-03-03,50494.7890698,45425.4194408,1161.72263098,3907.64699807,1222.00448052,51716.7935504,252.749704632,9680.95769316,9619.66197124,559.629264096,0,22040.1578714,17907.6940255,77512.813166,47748.8647028,77465.1406579,76456.4900386,567.2974874,567.2974874,567.2974874,-779.919147529,1132.9696297,2514.72015355,753.600451444,1569.80426984,255.182148351,585.055682849,3246.93060557,4303.25373297,7550.18433854,7,25,40,4303.25373297,1.45519152284e-11,-2.04636307899e-12
2025-03-04,48427.5969883,43257.7396194,1258.79762925,3911.05973965,513.460598068,48941.0575864,112.604473784,9619.66197124,9539.16258985,134.208571745,0,20475.8128189,16657.8578266,74334.6882158,45775.3348779,74362.944128,73039.0170236,549.32117844,549.32117844,549.32117844,-495.934235009,1356.94658472,150.322786156,762.994446671,1817.5773531,260.687379145,563.068507356,3181.00020679,4476.67139895,7657.67160574,6,17,50,4476.67139895,1.45519152284e-11,-3.18323145621e-12
2025-03-05,47176.8230427,41569.603142,1694.35549178,3912.86440885,928.356298394,48105.1793411,163.568075719,9539.16258985,9555.65454614,563.268531813,0,20267.0755716,16401.4884524,73739.1389214,44956.0153677,73707.8528261,70395.759592,531.344869479,531.344869479,531.344869479,-2809.61473486,1300.95234597,-233.800242837,821.364758458,2461.25247661,334.063343342,590.311355798,2798.46824242,6141.84757182,8940.31581425,8,25,52,6139.30018937,2.18278728426e-11,-6.8212102633e-13
2025-03-06,45769.2897517,40907.9278688,642.01320418,4219.34867875,0,45769.2897517,0,9555.65454614,9434.22734318,39.8437894103,0,20957.6520664,17084.9826565,69155.3977991,42191.9542771,69159.1206507,69853.1673327,513.368560519,513.368560519,513.368560519,1323.93695717,1244.95810721,1697.2654697,864.337850006,1737.99085204,384.584395129,613.068607578,3273.34722119,2575.5776876,5848.92490879,0,12,38,2575.5776876,2.18278728426e-11,0
2025-03-07,18397.0403622,16516.5025297,469.194790088,1411.34304241,0,18397.0403622,0,9434.22734318,9586.31384718,211.920943021,8501.56820304,18683.9226969,14997.0995309,33744.7798225,17454.8921099,33588.0449464,33322.5978454,615.595760216,615.595760216,615.595760216,-2539.54465312,1427.21898731,1064.39897109,907.901288206,1968.27616652,401.928259075,346.314324866,1115.56144219,1537.74341928,2653.30486147,0,13,31,1537.74341928,3.63797880709e-12,0
2025-03-08,19694.9627809,15505.7821833,215.744628709,3973.43596889,0,19694.9627809,0,9586.31384718,9758.03068479,75.0325599369,10216.7254371,18539.7397404,14862.6440358,31064.7166877,15937.2714408,31077.2358534,33031.9932182,567.2974874,567.2974874,567.2974874,876.199296134,1412.94082348,52.0524583813,1048.40374363,190.965153643,388.366316312,210.540256279,2926.38198887,959.105458401,3885.48744728,0,2,9,959.105458401,-3.63797880709e-12,0
2025-03-09,45238.1767958,38909.970294,1630.63740845,4697.56909337,0,45238.1767958,0,9758.03068479,9579.91958314,140.978976339,0,20985.0084589,17158.1568432,69208.3232773,42171.2451109,69365.4665584,67301.3556421,760.490578665,760.490578665,760.490578665,-1569.69475376,1356.94658472,1807.51155674,1013.27812977,546.936088587,387.105675918,383.530340531,4096.74055355,6003.7081888,10100.4487424,0,10,28,6003.7081888,-2.18278728426e-11,0
2025-03-10,47133.8446311,40925.9208951,149.697025691,6058.22671035,0,47133.8446311,0,9579.91958314,9671.72887814,58.811977863,0,20719.7454824,16700.3654752,67606.503809,41225.3149465,67601.0448019,72120.263435,712.192305849,712.192305849,712.192305849,4807.80543662,1455.77531498,1976.57240673,978.152515918,537.646676983,386.431926,322.596555233,5214.75248805,700.992862049,5915.7453501,0,1,1,700.992862049,-7.27595761418e-12,0
2025-03-11,44736.9937358,39614.8049702,303.376945167,4818.81182048,0,44736.9937358,0,9671.72887814,9901.46740963,535.049044075,0,19909.209406,15919.6949405,65378.3326772,40181.2261838,65392.1027016,68463.4823096,835.753029342,835.753029342,835.753029342,2756.65542567,1518.2187171,-438.078860153,943.026902062,84.014762571,385.464730844,-63.2492394146,4462.5414302,1377.39179781,5839.93322802,0,15,22,1288.76803011,0,0
2025-03-12,43953.6187925,39516.6663525,1547.32323179,2889.62920822,0,43953.6187925,0,9901.46740963,9684.74259318,86.2035766494,0,19545.1728452,16026.6423394,69208.1568398,42611.312816,69201.4981506,66040.2687658,881.015902828,881.015902828,881.015902828,-2743.41352703,1501.27517988,1464.47016607,907.901288206,497.500112098,384.497535688,348.602333128,2390.4383736,5558.32644765,7948.76482124,0,8,30,5558.32644765,-1.45519152284e-11,0
2025-03-13,46020.9409548,41889.5326247,318.978738399,3812.42959175,0,46020.9409548,0,9684.74259318,9705.02342699,203.630019603,0,21276.4044134,17215.6348244,69128.9902861,42525.4568003,69129.8067574,71810.0176252,876.199296134,876.199296134,876.199296134,2593.12551644,1484.33164265,1088.97242731,872.77567435,-157.230449189,383.530340531,274.765749317,3715.72559745,1034.69825826,4750.42385571,0,4,4,1033.11973082,7.27595761418e-12,0
2025-03-14,18656.2247439,16726.6112276,176.966947988,1752.64656831,0,18656.2247439,0,9705.02342699,10272.7783236,514.66439383,12521.562437,18670.618263,14612.2213861,32606.69117,17079.8249684,32465.1609415,33124.0496911,895.46572291,895.46572291,895.46572291,-2176.63006322,1480.35934734,53.5564678215,869.963066236,-503.399977836,383.236895293,-356.478937282,1263.23196152,745.873440435,2009.10540195,0,14,20,745.20302976,-3.63797880709e-12,0
2025-03-15,18807.1099547,16415.7800748,121.224433539,2270.10544637,0,18807.1099547,0,10272.7783236,9847.06799808,748.363084377,8115.73504164,18214.859638,15137.1755998,31818.808866,16656.9200419,31821.4393368,32865.9073142,890.649116216,890.649116216,890.649116216,706.72868867,1476.38705202,-2944.91739775,867.150458121,-761.140887863,382.943450055,199.391733463,1581.60349773,534.505049523,2116.10854725,0,1,2,533.179044102,3.63797880709e-12,0
2025-03-16,44803.8115614,41591.7171935,366.37065522,2845.72371265,7.46118,44811.2727414,1.64,9847.06799808,10520.7359198,1483.5418452,0,19577.6057797,15251.559552,68421.0708737,42293.9521023,68559.5591599,69158.9950062,885.832509522,885.832509522,885.832509522,-841.439109606,1472.4147567,-2510.87760196,864.337850006,-1015.05849147,382.650004817,-459.708539177,2175.37353514,1437.44940259,3612.82293773,1,5,5,1373.39299337,-1.45519152284e-11,-2.03392858111e-12
2025-03-17,41855.9650203,37131.0795864,1715.14485282,3009.74058103,0,41855.9650203,0,10520.7359198,10433.3997168,1186.22118402,1.5916157281e-12,19189.2633174,15621.9058698,66303.3650989,40561.369292,66323.6778304,62611.7100649,881.015902828,881.015902828,881.015902828,-4681.31204581,1468.44246139,306.305985048,861.525241892,-1203.96467815,382.356559579,-647.075037237,2752.49827142,6444.15330542,9196.65157684,0,25,56,6444.15330542,0,0
2025-03-18,42928.9761962,40559.3870263,938.51490498,1431.07426488,0,42928.9761962,0,10433.3997168,10293.8696698,1281.27807429,0,19244.3339927,15713.4875763,68733.8347468,42436.4168363,68733.442558,65938.0828573,876.199296134,876.199296134,876.199296134,-3764.99131776,1464.47016607,-1926.69039072,858.712633777,-751.189840635,382.06311434,-284.246934949,928.078104292,3723.82999378,4651.90809807,0,12,49,3723.82999378,0,0
2025-03-19,42666.4861951,37760.3230917,427.225378319,4478.937725,0,42666.4861951,0,10293.8696698,10370.853319,1506.63998581,0,19448.8725182,15684.3014555,62167.6405216,38614.2404765,62150.9895568,64736.6814985,862.717207203,862.717207203,862.717207203,1019.55791598,1454.16429755,-1496.24435676,840.038696117,-1922.1322262,375.370958098,-585.912562688,3759.92608616,1190.88510926,4950.81119542,0,12,24,1189.60989019,0,0
2025-03-20,44976.9070636,38120.9215699,1117.28706661,5738.69842706,0,44976.9070636,0,10370.853319,10152.9692072,848.662125679,0,19531.5767407,16016.6728606,65209.3709278,40355.4957032,65232.405733,66572.5278225,890.649116216,890.649116216,890.649116216,812.799538677,1443.85842903,2889.38351627,821.364758458,-138.312583776,368.678801855,-366.425590122,5427.53107817,4064.37418348,9491.90526165,0,12,27,4064.37418348,1.45519152284e-11,0
2025-03-21,18486.5612239,15267.6673663,394.003688829,2824.89016877,0,18486.5612239,0,10152.9692072,9967.66120245,448.04351652,15706.5383235,18678.8799418,15296.6699571,30656.8763367,16048.8223503,30473.3836515,31570.2563414,885.832509522,885.832509522,885.832509522,-2443.76299756,1472.4147567,-779.646210143,802.690820798,-401.080806666,361.986645613,-12.4015532373,2071.04131065,1157.66130592,3228.70261657,0,3,13,1150.71936116,0,0
2025-03-22,18107.8618455,16156.3884807,263.269832368,1688.20353242,0,18107.8618455,0,9967.66120245,10342.3251225,348.086616663,11899.8060403,18614.1348236,14740.2516791,31688.7299375,16682.9281455,31706.2995107,32002.9755349,881.015902828,881.015902828,881.015902828,-453.741132982,1468.44246139,1392.93437658,784.016883138,-489.909993613,355.29448937,-381.093264433,1269.17665844,954.93106107,2224.10771951,0,14,31,954.93106107,0,0
2025-03-23,41738.5947135,38874.5950794,935.893632904,1928.10600113,0,41738.5947135,0,10342.3251225,10133.7379734,1195.64540641,698.675198991,18412.4414288,15101.8059915,66079.7927938,40740.2243797,66230.1773877,63974.6761594,876.199296134,876.199296134,876.199296134,-3692.92428598,1464.47016607,-3671.76287807,765.342945478,-1460.35555472,348.602333128,-188.898519117,1200.23156896,3305.34820336,4505.57977232,0,2,19,3300.02073979,7.27595761418e-12,0
2025-03-24,40758.7667382,37062.6263923,939.182146176,2756.95819977,0,40758.7667382,0,10133.7379734,10253.3864857,389.258670079,161.955276451,19949.3457454,16051.2863927,63427.7923915,38940.4200535,63428.4518427,62447.7703826,863.519344643,863.519344643,863.519344643,-1732.79668439,1454.16429755,-1043.47417861,762.994446671,-1010.3267661,348.144731475,-300.316483877,2247.83976964,3227.86177857,5475.70154821,0,2,12,3227.41877634,0,0
2025-03-25,43177.5722711,37826.3827959,1194.90153499,4156.28794023,0,43177.5722711,0,10253.3864857,10023.3005792,416.729775976,0,19524.4983538,16021.9209825,65706.4866827,40216.1858659,65700.7990233,64869.431864,850.839393151,850.839393151,850.839393151,-1006.7276139,1443.85842903,1765.44380309,760.645947865,0.342557158361,347.687129823,-58.8457209922,3769.34638034,4606.40119905,8375.74757939,0,14,30,4606.40119905,7.27595761418e-12,0
2025-03-26,40028.2912987,36012.2576458,911.621231082,3104.41242175,0,40028.2912987,0,10023.3005792,10182.7080298,692.286871055,0,18594.7952296,14918.3174305,61378.0625039,37832.1212048,61378.367058,59961.3195369,838.15944166,838.15944166,838.15944166,-1980.69955898,1472.4147567,-2969.77770478,758.297449058,-691.459028012,347.229528171,-293.119103213,2156.05063329,3572.79360035,5728.84423364,0,3,20,3570.0511234,1.45519152284e-11,0
2025-03-27,41333.3786925,38077.2459594,491.697954924,2764.43477821,0,41333.3786925,0,10182.7080298,10326.6776484,614.590966014,0,18856.3109463,15144.0392097,63303.0952169,39060.6418692,63310.2194153,63043.8521026,825.479490169,825.479490169,825.479490169,-843.553422693,1468.44246139,-998.155356999,755.948950251,-566.575377124,346.771926518,-344.836572112,1890.71103708,2149.95415138,4040.66518847,0,1,11,2149.95415138,1.45519152284e-11,0
2025-03-28,17589.4573432,15529.1865486,263.004442456,1797.26635207,0,17589.4573432,0,10326.6776484,10132.2125104,880.814918326,16301.6277865,18173.6976975,14895.7137592,31000.6869001,16055.0636448,30824.779058,31282.3074098,812.799538677,812.799538677,812.799538677,-2833.48814711,1464.47016607,-875.337995344,753.600451444,-1158.80010324,346.314324866,-238.687719542,1283.45501308,1001.83450343,2285.28951651,0,4,10,1001.70099236,3.63797880709e-12,0
2025-03-29,17630.295818,15270.3065473,129.68707014,2230.30220059,0,17630.295818,0,10132.2125104,10182.0577842,215.410563802,19654.2574069,18386.8740592,14848.5072415,30221.4059311,15528.8134326,30233.4194212,31115.2439717,811.997401238,811.997401238,811.997401238,-2929.87392719,1454.16429755,-1696.79575603,734.343882591,-637.89448,341.570770939,-202.026743067,1495.26388146,601.425840902,2096.68972236,0,2,2,600.547252185,0,0
2025-03-30,38903.3635882,35461.7667294,881.48674397,2560.1101148,0,38903.3635882,0,10182.0577842,10200.1337656,233.884175027,0,18882.7184929,15278.7335959,60768.6207757,37224.7402174,60939.0562445,59183.488772,811.195263799,811.195263799,811.195263799,-1811.95731998,1443.85842903,322.423082939,715.087313738,355.653175716,336.827217013,-294.879839042,2107.42128522,3692.55328896,5799.97457418,0,2,19,3692.55328896,-7.27595761418e-12,0
2025-03-31,41109.6757906,33998.2382443,548.19663903,6563.24090723,0,41109.6757906,0,10200.1337656,10297.415311,350.969843645,0,19205.0613666,15468.5463161,56250.7413378,34840.9311902,56251.79772,61038.8743775,810.393126359,810.393126359,810.393126359,4402.53235867,1433.55256051,-1393.80008501,695.830744885,252.717911162,332.083663086,-420.664721103,6743.06244667,1954.92940692,8697.99185359,0,6,16,1498.75450173,-7.27595761418e-12,0
