时间,时间标签,时段 t,时段区间,c_t (元/kWh),L_t (kW),P_t^fc (kW),净负荷 (kW)
44,07:20,45,07:20-07:30,0.7644,4523.2418,2381.2611,2141.9807
45,07:30,46,07:30-07:40,0.6899,4383.3566,2683.1752,1700.1814
46,07:40,47,07:40-07:50,0.86,4910.4599,2986.3552,1924.1047
47,07:50,48,07:50-08:00,1.1617,5799.7327,3289.204,2510.5287
48,08:00,49,08:00-08:10,1.1683,5884.826,3593.3613,2291.4647
49,08:10,50,08:10-08:20,1.0956,5748.0713,3890.7332,1857.3381
50,08:20,51,08:20-08:30,1.0849,5769.0581,4181.3417,1587.7164
51,08:30,52,08:30-08:40,1.061,5754.2105,4471.7657,1282.4448
52,08:40,53,08:40-08:50,1.043,5824.1807,4752.8272,1071.3535
53,08:50,54,08:50-09:00,1.036,5954.2601,5021.9074,932.3527
54,09:00,55,09:00-09:10,1.0147,5958.9696,5285.4126,673.557
55,09:10,56,09:10-09:20,0.9922,5929.5554,5543.1742,386.3812
56,09:20,57,09:20-09:30,0.97,5923.7828,5788.4093,135.3735
57,09:30,58,09:30-09:40,0.9422,5907.586,6012.1304,-104.5444
58,09:40,59,09:40-09:50,0.9569,5899.1262,6216.1528,-317.0266
59,09:50,60,09:50-10:00,0.9977,5902.2196,6409.5941,-507.3745
60,10:00,61,10:00-10:10,0.9919,5897.4793,6599.3808,-701.9015
61,10:10,62,10:10-10:20,0.9588,5886.7568,6766.7204,-879.9636
62,10:20,63,10:20-10:30,0.9549,5873.4708,6914.5923,-1041.1215
63,10:30,64,10:30-10:40,0.9839,5858.0308,7064.2053,-1206.1745
64,10:40,65,10:40-10:50,0.799,5844.9948,7197.4315,-1352.4367
65,10:50,66,10:50-11:00,0.5025,5839.0587,7303.1142,-1464.0555
66,11:00,67,11:00-11:10,0.4662,5838.7103,7387.6848,-1548.9745
67,11:10,68,11:10-11:20,0.5007,5823.4378,7459.227,-1635.7892
68,11:20,69,11:20-11:30,0.4827,5814.7932,7520.7191,-1705.9259
69,11:30,70,11:30-11:40,0.4785,5832.3951,7568.2039,-1735.8088
70,11:40,71,11:40-11:50,0.4662,5712.901,7592.1539,-1879.2529
71,11:50,72,11:50-12:00,0.4432,5519.4607,7601.0433,-2081.5826
72,12:00,73,12:00-12:10,0.4411,5494.7907,7612.316,-2117.5253
73,12:10,74,12:10-12:20,0.4551,5514.4524,7602.6524,-2088.2
74,12:20,75,12:20-12:30,0.4463,5485.829,7554.1872,-2068.3582
75,12:30,76,12:30-12:40,0.4113,5462.3628,7472.7384,-2010.3756
76,12:40,77,12:40-12:50,0.5682,5566.1066,7393.4172,-1827.3106
77,12:50,78,12:50-13:00,0.8279,5725.7548,7312.7979,-1587.0431
78,13:00,79,13:00-13:10,0.8636,5739.4957,7194.541,-1455.0453
79,13:10,80,13:10-13:20,0.8416,5714.6836,7053.1371,-1338.4535
80,13:20,81,13:20-13:30,0.8618,5717.8505,6910.4064,-1192.5559
81,13:30,82,13:30-13:40,0.8623,5708.2486,6772.4075,-1064.1589
82,13:40,83,13:40-13:50,0.9026,5696.9182,6607.36,-910.4418
83,13:50,84,13:50-14:00,0.9754,5692.2983,6412.5085,-720.2102
84,14:00,85,14:00-14:10,1.0002,5687.1291,6214.0158,-526.8867
85,14:10,86,14:10-14:20,0.9978,5678.962,6000.7112,-321.7492
86,14:20,87,14:20-14:30,1.0271,5669.4508,5766.9816,-97.5308
87,14:30,88,14:30-14:40,1.0906,5664.1948,5521.5066,142.6882
88,14:40,89,14:40-14:50,0.9376,5672.7011,5268.781,403.9201
89,14:50,90,14:50-15:00,0.6694,5682.2544,5009.7152,672.5392
90,15:00,91,15:00-15:10,0.66,5669.0195,4743.4484,925.5711
91,15:10,92,15:10-15:20,0.7217,5656.3651,4471.224,1185.1411
92,15:20,93,15:20-15:30,0.7308,5657.0867,4188.2025,1468.8842
93,15:30,94,15:30-15:40,0.7534,5662.6008,3889.3931,1773.2077
94,15:40,95,15:40-15:50,0.7823,5669.2596,3594.5946,2074.665
95,15:50,96,15:50-16:00,0.8055,5673.4767,3303.8878,2369.5889
96,16:00,97,16:00-16:10,0.8271,5671.0146,2998.4247,2672.5899
97,16:10,98,16:10-16:20,0.8519,5661.5926,2687.4131,2974.1795
98,16:20,99,16:20-16:30,0.8791,5665.8922,2383.1779,3282.7143
99,16:30,100,16:30-16:40,0.9024,5689.0372,2089.1246,3599.9126
100,16:40,101,16:40-16:50,0.9163,5603.6614,1791.0829,3812.5785
101,16:50,102,16:50-17:00,0.9264,5466.7124,1501.7283,3964.9841
102,17:00,103,17:00-17:10,0.9462,5467.3939,1255.1723,4212.2216
103,17:10,104,17:10-17:20,0.9742,5464.727,1036.3323,4428.3947
104,17:20,105,17:20-17:30,0.9862,5492.4458,836.7775,4655.6683
105,17:30,106,17:30-17:40,0.976,5621.7308,665.2313,4956.4995
106,17:40,107,17:40-17:50,1.0742,5091.2126,516.6758,4574.5368
107,17:50,108,17:50-18:00,1.2313,4208.5688,386.6731,3821.8957
108,18:00,109,18:00-18:10,1.2561,4122.7611,275.7933,3846.9678
109,18:10,110,18:10-18:20,1.2447,4255.9358,182.9526,4072.9832
110,18:20,111,18:20-18:30,1.2545,4225.9524,108.3414,4117.611
111,18:30,112,18:30-18:40,1.2522,4233.3384,54.3121,4179.0263
112,18:40,113,18:40-18:50,1.2881,4246.4625,18.6569,4227.8056
113,18:50,114,18:50-19:00,1.3466,4239.1795,0.2753,4238.9042
114,19:00,115,19:00-19:10,1.3523,4244.6684,0.2296,4244.4388
115,19:10,116,19:10-19:20,1.3445,4251.9187,0.6007,4251.318
116,19:20,117,19:20-19:30,1.3483,4256.6813,0.0,4256.6813
117,19:30,118,19:30-19:40,1.349,4267.3947,0.0,4267.3947
118,19:40,119,19:40-19:50,1.3473,4269.975,0.0,4269.975
119,19:50,120,19:50-20:00,1.3482,4268.6702,0.0,4268.6702
120,20:00,121,20:00-20:10,1.3513,4282.2245,0.0,4282.2245
121,20:10,122,20:10-20:20,1.34,4291.7049,0.0,4291.7049
122,20:20,123,20:20-20:30,1.3489,4291.3611,0.0,4291.3611
123,20:30,124,20:30-20:40,1.3952,4293.9182,0.0,4293.9182
124,20:40,125,20:40-20:50,1.2226,4295.2135,0.0,4295.2135
125,20:50,126,20:50-21:00,0.9332,4302.0307,0.0,4302.0307
126,21:00,127,21:00-21:10,0.9068,4320.9618,0.0,4320.9618
127,21:10,128,21:10-21:20,0.9371,4302.3292,0.0,4302.3292
128,21:20,129,21:20-21:30,0.9371,4322.6758,0.0,4322.6758
129,21:30,130,21:30-21:40,0.9871,4428.8083,0.0,4428.8083
130,21:40,131,21:40-21:50,0.7764,4030.1614,0.0,4030.1614
131,21:50,132,21:50-22:00,0.4209,3362.7419,0.0,3362.7419
132,22:00,133,22:00-22:10,0.3859,3309.3934,0.0,3309.3934
133,22:10,134,22:10-22:20,0.4368,3412.9563,0.0,3412.9563
134,22:20,135,22:20-22:30,0.4198,3381.9313,0.0,3381.9313
135,22:30,136,22:30-22:40,0.4186,3386.5592,0.0,3386.5592
136,22:40,137,22:40-22:50,0.4241,3400.4846,0.0,3400.4846
137,22:50,138,22:50-23:00,0.4237,3399.2426,0.0,3399.2426
138,23:00,139,23:00-23:10,0.4248,3406.9809,0.0,3406.9809
139,23:10,140,23:10-23:20,0.424,3416.1518,0.0,3416.1518
140,23:20,141,23:20-23:30,0.422,3421.9811,0.0,3421.9811
141,23:30,142,23:30-23:40,0.424,3429.6923,0.0,3429.6923
142,23:40,143,23:40-23:50,0.4271,3439.061,0.0,3439.061
143,23:50,144,23:50-24:00,0.4276,3444.7259,0.0,3444.7259
144,24:00,,,,,,
