price,purchase_kwh,charge_kwh,discharge_kwh,soc_kwh,emergency_kwh,discarded_kwh
0.8636,0,421.648683333,0,8540.56071,0,0
0.8416,0,422.724433333,0,8921.0127,0,0
0.8618,0,410.267916667,0,9290.253825,0,0
0.8623,0,392.475716667,0,9643.48197,0,0
0.9026,0,323.707133333,0,9934.81839,0,0
0.9754,0,233.5425,0,10145.00664,0,0
1.0002,0,202.900033333,0,10327.61667,0,0
0.9978,0,166.268816667,0,10477.258605,0,0
1.0271,0,116.588333333,0,10582.188105,0,0
1.0906,0,112.444316667,0,10683.38799,0,0
0.9376,0,93.7672333333,0,10767.7785,0,0
0.6694,0,35.8016666667,0,10800,0,0
0.66,28.42915,0,-0,10800,0,0
0.7217,97.9340666667,0,-0,10800,0,0
0.7308,158.0175,0,-0,10800,0,0
0.7534,183.16035,0,-0,10800,0,0
0.7823,194.13805,0,-0,10800,0,0
0.8055,219.81875,0,-0,10800,0,0
0.8271,272.90835,0,-0,10800,0,0
0.8519,318.59455,0,-0,10800,0,0
0.8791,360.744166667,0,-0,10800,0,0
0.9024,424.767266667,0,-0,10800,0,0
0.9163,426.10655,0,-0,10800,0,0
0.9264,387.07375,0,-0,10800,0,0
0.9462,417.646083333,0,-0,10800,0,0
0.9742,439.7808,0,-0,10800,0,0
0.9862,436.136666667,0,-0,10800,0,0
0.976,445.305716667,0,0,10800,0,0
1.0742,0,0,439.892633333,10311.2304074,0,0
1.2313,0,0,428.47,9835.15262963,0,0
1.2561,0,0,454.13505,9330.55812963,0,0
1.2447,0,0,472.265316667,8805.81888889,0,0
1.2545,0,0,454.168333333,8301.18740741,0,0
1.2522,0,0,418.372633333,7836.32892593,0,0
1.2881,0,0,414.082233333,7376.23755556,0,0
1.3466,0,0,432.138333333,6896.08385185,0,0
1.3523,0,0,424.014116667,6424.95705556,0,0
1.3445,0,0,442.412466667,5933.38764815,0,0
1.3483,0,0,483.746666667,5395.89135185,0,0
1.349,0,0,481.184466667,4861.24194444,0,0
1.3473,0,0,444.765933333,4367.05757407,0,0
1.3482,0,0,418.095,3902.50757407,0,0
1.3513,0,0,436.740516667,3417.24033333,0,0
1.34,0,0,452.69785,2914.24272222,0,0
1.3489,0,0,449.968333333,2414.27790741,0,0
1.3952,0,0,455.0667,1908.64824074,0,0
1.2226,0,0,454.012366667,1404.19005556,0,0
0.9332,459.405,0,0,1404.19005556,0,0
0.9068,497.420766667,0,0,1404.19005556,0,0
0.9371,503.283133333,0,0,1404.19005556,0,0
0.9371,477.556666667,0,0,1404.19005556,0,0
0.9871,295.3649,0,183.77105,1200,0,0
0.7764,450.2041,0,-0,1200,0,0
0.4209,1225.41833333,833.333333333,0,1950,0,0
0.3859,1205.10315,833.333333333,0,2700,0,0
0.4368,363.578216667,0,0,2700,0,0
0.4198,1192.49,833.333333333,0,3450,0,0
0.4186,1215.38405,833.333333333,0,4200,0,0
0.4241,1250.50175,833.333333333,0,4950,0,0
0.4237,1265.13,833.333333333,0,5700,0,0
0.4248,1073.13161667,666.666666667,0,6300,0,0
0.424,1234.2932,833.333333333,0,7050,0,0
0.422,1243.27833333,833.333333333,0,7800,0,0
0.424,1220.57003333,833.333333333,0,8550,0,0
0.4271,454.71015,0,0,8550,0,0
0.4276,580.823333333,0,0,8550,0,0
0.4248,1431.99738333,833.333333333,0,9300,0,0
0.4245,1415.06781667,833.333333333,0,10050,0,0
0.4269,584.593333333,0,0,10050,0,0
0.4272,586.102866667,0,0,10050,0,0
0.4271,587.196866667,0,0,10050,0,0
0.4285,596.073333333,0,0,10050,0,0
0.4311,612.054816667,0,0,10050,0,0
0.4302,598.3243,0,0,10050,0,0
0.4279,572.233333333,0,0,10050,0,0
0.4312,591.652733333,0,0,10050,0,0
0.4333,624.2957,0,0,10050,0,0
0.4311,628.665,0,0,10050,0,0
0.4293,599.074116667,0,0,10050,0,0
0.4324,611.860583333,0,0,10050,0,0
0.4367,647.138333333,0,0,10050,0,0
0.4348,618.535233333,0,0,10050,0,0
0.4335,632.842516667,0,0,10050,0,0
0.4357,682.741666667,0,0,10050,0,0
0.4374,650.291266667,0,0,10050,0,0
0.4371,625.2837,0,0,10050,0,0
0.4356,648.826666667,0,0,10050,0,0
0.4353,667.236966667,0,0,10050,0,0
0.436,658.5555,0,0,10050,0,0
0.4378,637.655,0,0,10050,0,0
0.4401,636.654583333,0,0,10050,0,0
0.4389,645.906666667,0,0,10050,0,0
0.4364,652.965,0,0,10050,0,0
0.4393,656.255483333,0,0,10050,0,0
0.4422,665.3871,0,0,10050,0,0
0.4395,681.033333333,0,0,10050,0,0
0.4333,691.020766667,0,0,10050,0,0
0.4439,679.219966667,0,0,10050,0,0
0.4301,647.946666667,0,0,10050,0,0
0.3713,1466.82803333,833.333333333,0,10800,0,0
0.5708,723.738066667,0,-0,10800,0,0
0.9099,22.2,0,833.333333333,9874.07407407,0,0
0.9368,33.9161833333,0,833.333333333,8948.14814815,0,0
0.8758,854.668816667,0,0,8948.14814815,0,0
0.8759,873.501666667,0,0,8948.14814815,0,0
0.8601,876.012366667,0,0,8948.14814815,0,0
0.8442,834.753333333,0,0,8948.14814815,0,0
0.8334,767.92125,0,0,8948.14814815,0,0
0.8092,735.496983333,0,0,8948.14814815,0,0
0.7972,708.674133333,0,0,8948.14814815,0,0
0.7644,656.576666667,0,0,8948.14814815,0,0
0.6899,1432.37988333,833.333333333,0,9698.14814815,0,0
0.86,668.647566667,0,0,9698.14814815,0,0
1.1617,0,0,811.149166667,8796.8712963,0,0
1.1683,0,0,822.83135,7882.61424074,0,0
1.0956,0,0,758.875866667,7039.41883333,0,0
1.0849,0,0,692.56625,6269.90077778,0,0
1.061,0,0,640.1275,5558.648,0,0
1.043,0,0,586.0843,4907.44322222,0,0
1.036,0,0,521.202916667,4328.32887037,0,0
1.0147,0,0,454.838833333,3822.95238889,0,0
0.9922,0,0,413.783566667,3363.19287037,0,0
0.97,0,0,374.2825,2947.32342593,0,0
0.9422,0,0,288.972716667,2626.24262963,0,0
0.9569,0,0,231.4054,2369.12551852,0,0
0.9977,0,0,222.362916667,2122.05561111,0,0
0.9919,0,0,210.759533333,1887.87835185,0,0
0.9588,0,0,192.033283333,1674.50803704,0,0
0.9549,0,0,165.075,1491.09137037,0,0
0.9839,0,0,126.60865,1350.41509259,0,0
0.799,99.80025,0,0,1350.41509259,0,0
0.5025,918.797083333,833.333333333,0,2100.41509259,0,0
0.4662,893.85425,833.333333333,0,2850.41509259,0,0
0.5007,857.37805,833.333333333,0,3600.41509259,0,0
0.4827,847.7375,833.333333333,0,4350.41509259,0,0
0.4785,888.379016667,833.333333333,0,5100.41509259,0,0
0.4662,820.716,833.333333333,0,5850.41509259,0,0
0.4432,699.930416667,833.333333333,0,6600.41509259,0,0
0.4411,746.6966,833.333333333,0,7350.41509259,0,0
0.4551,811.439,833.333333333,0,8100.41509259,0,0
0.4463,793.794583333,833.333333333,0,8850.41509259,0,0
0.4113,749.404916667,833.333333333,0,9600.41509259,0,0
0.5682,774.159266667,833.333333333,0,10350.4150926,0,0
0.8279,19.4625,0,0,10350.4150926,0,0
0.8636,45.4698333333,0,0,10350.4150926,0,0
0.8416,26.7711833333,0,0,10350.4150926,0,0
0.8618,22.5758333333,0,0,10350.4150926,0,0
0.8623,78.4620833333,0,0,10350.4150926,0,0
0.9026,0,0,105.30015,10233.4149259,0,0
0.9754,0,0,99.8616666667,10122.4575185,0,0
1.0002,0,0,146.230066667,9959.97966667,0,0
0.9978,0,0,200.45355,9737.2535,0,0
1.0271,0,0,230.097083333,9481.59007407,0,0
1.0906,0,0,252.98985,9200.49024074,0,0
0.9376,0,0,306.11745,8860.35974074,0,0
0.6694,1206.49458333,833.333333333,0,9610.35974074,0,0
0.66,1238.5647,833.333333333,0,10360.3597407,0,0
0.7217,939.266793621,488.489176955,0,10800,0,0
0.7308,520.036666667,0,0,10800,0,0
0.7534,575.346816667,0,0,10800,0,0
0.7823,638.18165,0,0,10800,0,0
0.8055,700.089166667,0,0,10800,0,0
0.8271,728.861766667,0,0,10800,0,0
0.8519,775.6201,0,0,10800,0,0
0.8791,838.57125,0,0,10800,0,0
0.9024,864.95765,0,0,10800,0,0
0.9163,893.215033333,0,0,10800,0,0
0.9264,941.567083333,0,0,10800,0,0
0.9462,985.636266667,0,0,10800,0,0
0.9742,1005.3769,0,-0,10800,0,0
0.9862,1026.91833333,0,0,10800,0,0
0.976,1050.26418333,-0,0,10800,0,0
1.0742,902.103066667,0,0,10800,0,0
1.2313,680.376666667,0,-0,10800,0,0
1.2561,613.265583333,0,69.3044666667,10722.995037,0,0
1.2447,745.416916667,0,0,10722.995037,0,0
1.2545,755.276666667,0,0,10722.995037,0,0
1.2522,754.60245,0,0,10722.995037,0,0
1.2881,0,0,737.466,9903.58837037,0,0
1.3466,0,0,720.628333333,9102.89022222,0,0
1.3523,0,0,734.1428,8287.176,0,0
1.3445,0,0,718.803033333,7488.50596296,0,0
1.3483,0,0,688.355,6723.66707407,0,0
1.349,0,0,714.805933333,5929.43825926,0,0
1.3473,0,0,724.814516667,5124.0887963,0,0
1.3482,0,0,705.315,4340.40546296,0,0
1.3513,0,0,714.35385,3546.67896296,0,0
1.34,0,0,707.17605,2760.9277963,0,0
1.3489,0,0,689.72,1994.57224074,0,0
1.3952,0,0,715.115016667,1200,0,0
1.2226,719.23435,0,-0,1200,0,0
0.9332,695.33,0,0,1200,0,0
0.9068,701.571666667,0,0,1200,0,0
0.9371,707.702466667,0,0,1200,0,0
0.9371,707.686666667,0,0,1200,0,0
0.9871,718.29075,0,-0,1200,0,0
0.7764,663.7065,0,-0,1200,0,0
0.4209,1400.085,833.333333333,0,1950,0,0
0.3859,1369.755,833.333333333,0,2700,0,0
0.4368,538.939816667,0,0,2700,0,0
0.4198,1374.93,833.333333333,0,3450,0,0
0.4186,1379.884,833.333333333,0,4200,0,0
0.4241,1377.27403333,833.333333333,0,4950,0,0
0.4237,1374.875,833.333333333,0,5700,0,0
0.4248,1223.4132,666.666666667,0,6300,0,0
0.424,1395.76186667,833.333333333,0,7050,0,0
0.422,1381.79166667,833.333333333,0,7800,0,0
0.424,1370.48125,833.333333333,0,8550,0,0
0.4271,563.82545,0,0,8550,0,0
0.4276,591.376666667,0,0,8550,0,0
0.4248,1386.54598333,833.333333333,0,9300,0,0
0.4245,1392.8644,833.333333333,0,10050,0,0
0.4269,609.62,0,0,10050,0,0
0.4272,592.417633333,0,0,10050,0,0
0.4271,575.312233333,0,0,10050,0,0
0.4285,583.56,0,0,10050,0,0
0.4311,575.248733333,0,0,10050,0,0
0.4302,590.353433333,0,0,10050,0,0
0.4279,615.863333333,0,0,10050,0,0
0.4312,596.38565,0,0,10050,0,0
0.4333,600.7105,0,0,10050,0,0
0.4311,638.318333333,0,0,10050,0,0
0.4293,646.818083333,0,0,10050,0,0
0.4324,640.075216667,0,0,10050,0,0
0.4367,630.405,0,0,10050,0,0
0.4348,614.535533333,0,0,10050,0,0
0.4335,612.543983333,0,0,10050,0,0
0.4357,633.125,0,0,10050,0,0
0.4374,664.07795,0,0,10050,0,0
0.4371,680.128566667,0,0,10050,0,0
0.4356,668.353333333,0,0,10050,0,0
0.4353,641.08085,0,0,10050,0,0
0.436,647.1126,0,0,10050,0,0
0.4378,679.903333333,0,0,10050,0,0
0.4401,689.475783333,0,0,10050,0,0
0.4389,706.4074,0,0,10050,0,0
0.4364,716.175,0,0,10050,0,0
0.4393,670.2347,0,0,10050,0,0
0.4422,643.91015,0,0,10050,0,0
0.4395,657.01,0,0,10050,0,0
0.4333,657.916766667,0,0,10050,0,0
0.4439,657.125383333,0,0,10050,0,0
0.4301,658.715,0,0,10050,0,0
0.3713,1497.51006667,833.333333333,0,10800,0,0
0.5708,749.895,0,-0,10800,0,0
0.9099,31.6633333333,0,833.333333333,9874.07407407,0,0
0.9368,40.23575,0,833.333333333,8948.14814815,0,0
0.8758,879.444783333,0,0,8948.14814815,0,0
0.8759,913.726666667,0,0,8948.14814815,0,0
0.8601,899.870816667,0,0,8948.14814815,0,0
0.8442,861.534866667,0,0,8948.14814815,0,0
0.8334,824.415,0,0,8948.14814815,0,0
0.8092,788.4368,0,0,8948.14814815,0,0
0.7972,735.512433333,0,0,8948.14814815,0,0
0.7644,658.070833333,0,0,8948.14814815,0,0
0.6899,1419.99035,833.333333333,0,9698.14814815,0,0
0.86,636.43275,0,0,9698.14814815,0,0
1.1617,0,0,737.562916667,8878.6337963,0,0
1.1683,0,0,696.859633333,8104.34531481,0,0
1.0956,0,0,644.632833333,7388.08661111,0,0
1.0849,0,0,633.94125,6683.70744444,0,0
1.061,0,0,582.8407,6036.10666667,0,0
1.043,0,0,511.470716667,5467.80587037,0,0
1.036,0,0,479.517916667,4935.00818519,0,0
1.0147,0,0,515.930366667,4361.75222222,0,0
0.9922,0,0,485.5158,3822.29022222,0,0
0.97,0,0,390.905833333,3387.95040741,0,0
0.9422,0,0,360.694616667,2987.17861111,0,0
0.9569,0,0,316.25645,2635.78255556,0,0
0.9977,0,0,236.789166667,2372.68348148,0,0
0.9919,0,0,196.0213,2154.88203704,0,0
0.9588,0,0,199.099366667,1933.66051852,0,0
0.9549,0,0,225.4475,1683.1632963,0,0
0.9839,0,0,237.376816667,1419.41127778,0,0
0.799,163.512716667,0,0,1419.41127778,0,0
0.5025,879.50125,833.333333333,0,2169.41127778,0,0
0.4662,850.895016667,833.333333333,0,2919.41127778,0,0
0.5007,911.799133333,833.333333333,0,3669.41127778,0,0
0.4827,961.395416667,833.333333333,0,4419.41127778,0,0
0.4785,889.200066667,833.333333333,0,5169.41127778,0,0
0.4662,811.104633333,833.333333333,0,5919.41127778,0,0
0.4432,797.705833333,833.333333333,0,6669.41127778,0,0
0.4411,815.660816667,833.333333333,0,7419.41127778,0,0
0.4551,828.195566667,833.333333333,0,8169.41127778,0,0
0.4463,839.975416667,833.333333333,0,8919.41127778,0,0
0.4113,880.11725,833.333333333,0,9669.41127778,0,0
0.5682,912.324616667,833.333333333,0,10419.4112778,0,0
0.8279,83.3341666667,0,0,10419.4112778,0,0
0.8636,78.8414833333,0,0,10419.4112778,0,0
0.8416,104.5936,0,0,10419.4112778,0,0
0.8618,133.892916667,0,0,10419.4112778,0,0
0.8623,110.014983333,0,0,10419.4112778,0,0
0.9026,0,0,131.565216667,10273.2277037,0,0
0.9754,0,0,194.157916667,10057.4966852,0,0
1.0002,0,0,192.127016667,9844.02222222,0,0
0.9978,0,0,182.651133333,9641.07651852,0,0
1.0271,0,0,210.03625,9407.70290741,0,0
1.0906,0,0,264.89225,9113.37818519,0,0
0.9376,0,0,342.5916,8732.72085185,0,0
0.6694,1249.6025,833.333333333,0,9482.72085185,0,0
0.66,1284.02833333,833.333333333,0,10232.7208519,0,0
0.7217,1103.30126461,630.310164609,0,10800,0,0
0.7308,518.7275,0,0,10800,0,0
0.7534,595.36485,0,0,10800,0,0
0.7823,632.283566667,0,0,10800,0,0
0.8055,647.266666667,0,0,10800,0,0
0.8271,726.63495,0,0,10800,0,0
0.8519,802.805233333,0,0,10800,0,0
0.8791,843.8325,-0,0,10800,0,0
0.9024,883.921383333,0,0,10800,0,0
0.9163,921.269666667,0,0,10800,0,0
0.9264,957.69375,0,0,10800,0,0
0.9462,1000.42643333,0,0,10800,0,0
0.9742,1025.37288333,0,0,10800,0,0
0.9862,1037.35666667,0,0,10800,0,0
0.976,1038.5458,-0,0,10800,0,0
1.0742,913.523116667,0,0,10800,0,0
1.2313,733.638333333,0,-0,10800,0,0
1.2561,677.037516667,0,30.57255,10766.0305,0,0
1.2447,734.1779,0,0,10766.0305,0,0
1.2545,731.001666667,0,0,10766.0305,0,0
1.2522,713.85215,0,0,10766.0305,0,0
1.2881,0,0,695.139533333,9993.65324074,0,0
1.3466,0,0,690.79,9226.1087963,0,0
1.3523,0,0,712.6662,8434.25746296,0,0
1.3445,0,0,735.184316667,7617.386,0,0
1.3483,0,0,738.115,6797.25822222,0,0
1.349,0,0,722.653433333,5994.30996296,0,0
1.3473,0,0,715.24385,5199.59457407,0,0
1.3482,0,0,717.828333333,4402.00753704,0,0
1.3513,0,0,711.653983333,3611.28088889,0,0
1.34,0,0,716.388133333,2815.29407407,0,0
1.3489,0,0,729.601666667,2004.62555556,0,0
1.3952,0,0,724.163,1200,0,0
1.2226,703.159333333,0,-0,1200,0,0
0.9332,697.483333333,0,0,1200,0,0
0.9068,731.944633333,0,0,1200,0,0
0.9371,732.446483333,0,0,1200,0,0
0.9371,714.175,0,0,1200,0,0
0.9871,748.850633333,0,-0,1200,0,0
0.7764,687.308283333,0,-0,1200,0,0
0.4209,1382.22833333,833.333333333,0,1950,0,0
0.3859,1350.8529,833.333333333,0,2700,0,0
0.4368,538.265116667,0,0,2700,0,0
0.4198,1392.94333333,833.333333333,0,3450,0,0
0.4186,1416.92935,833.333333333,0,4200,0,0
0.4241,1401.25461667,833.333333333,0,4950,0,0
0.4237,1375.95333333,833.333333333,0,5700,0,0
0.4248,1243.6824,666.666666667,0,6300,0,0
0.424,1400.90303333,833.333333333,0,7050,0,0
0.422,1348.95,833.333333333,0,7800,0,0
0.424,1366.48311667,833.333333333,0,8550,0,0
0.4271,579.5267,0,0,8550,0,0
0.4276,592.203333333,0,0,8550,0,0
0.4248,1389.43586667,833.333333333,0,9300,0,0
0.4245,1401.48326667,833.333333333,0,10050,0,0
0.4269,610.063333333,0,0,10050,0,0
0.4272,573.896833333,0,0,10050,0,0
0.4271,559.650783333,0,0,10050,0,0
0.4285,596.971666667,0,0,10050,0,0
0.4311,610.038433333,0,0,10050,0,0
0.4302,597.4533,0,0,10050,0,0
0.4279,592.48,0,0,10050,0,0
0.4312,622.075783333,0,0,10050,0,0
0.4333,632.09725,0,0,10050,0,0
0.4311,613.961666667,0,0,10050,0,0
0.4293,613.206533333,0,0,10050,0,0
0.4324,627.647833333,0,0,10050,0,0
0.4367,637.6,0,0,10050,0,0
0.4348,630.263833333,0,0,10050,0,0
0.4335,637.2846,0,0,10050,0,0
0.4357,644.943333333,0,0,10050,0,0
0.4374,612.778483333,0,0,10050,0,0
0.4371,615.059883333,0,0,10050,0,0
0.4356,654.976666667,0,0,10050,0,0
0.4353,657.8822,0,0,10050,0,0
0.436,638.830066667,0,0,10050,0,0
0.4378,625.123333333,0,0,10050,0,0
0.4401,628.373616667,0,0,10050,0,0
0.4389,642.633533333,0,0,10050,0,0
0.4364,659.786666667,0,0,10050,0,0
0.4393,671.102816667,0,0,10050,0,0
0.4422,658.523033333,0,0,10050,0,0
0.4395,636.051666667,0,0,10050,0,0
0.4333,641.589183333,0,0,10050,0,0
0.4439,669.954466667,0,0,10050,0,0
0.4301,682.286666667,0,0,10050,0,0
0.3713,1488.69733333,833.333333333,0,10800,0,0
0.5708,711.053366667,0,-0,10800,0,0
0.9099,429.16715,0,405.231183333,10349.7431296,0,0
0.9368,46.4610833333,0,833.333333333,9423.8172037,0,0
0.8758,871.998433333,0,0,9423.8172037,0,0
0.8759,861.956666667,0,0,9423.8172037,0,0
0.8601,867.3155,0,0,9423.8172037,0,0
0.8442,845.080016667,0,0,9423.8172037,0,0
0.8334,799.82875,0,0,9423.8172037,0,0
0.8092,778.08205,0,0,9423.8172037,0,0
0.7972,745.6747,0,0,9423.8172037,0,0
0.7644,684.5525,0,0,9423.8172037,0,0
0.6899,1466.87695,833.333333333,0,10173.8172037,0,0
0.86,702.2794,0,0,10173.8172037,0,0
1.1617,0,0,816.379583333,9266.72877778,0,0
1.1683,0,0,780.615783333,8399.37790741,0,0
1.0956,0,0,715.174033333,7604.74009259,0,0
1.0849,0,0,675.304166667,6854.40212963,0,0
1.061,0,0,604.209566667,6183.05816667,0,0
1.043,0,0,575.416766667,5543.7062037,0,0
1.036,0,0,571.545833333,4908.65527778,0,0
1.0147,0,0,500.4412,4352.6095,0,0
0.9922,0,0,464.66905,3836.31055556,0,0
0.97,0,0,468.005416667,3316.30453704,0,0
0.9422,0,0,407.154366667,2863.9107963,0,0
0.9569,0,0,342.74895,2483.07862963,0,0
0.9977,0,0,306.059583333,2143.01242593,0,0
0.9919,0,0,264.704716667,1848.89607407,0,0
0.9588,0,0,219.86785,1604.59846296,0,0
0.9549,0,0,187.625416667,1396.12577778,0,0
0.9839,0,0,176.5132,1200,0,0
0.799,145.289216667,0,0,1200,0,0
0.5025,946.970416667,833.333333333,0,1950,0,0
0.4662,971.717766667,833.333333333,0,2700,0,0
0.5007,968.975866667,833.333333333,0,3450,0,0
0.4827,919.842916667,833.333333333,0,4200,0,0
0.4785,882.95335,833.333333333,0,4950,0,0
0.4662,826.306283333,833.333333333,0,5700,0,0
0.4432,764.927916667,833.333333333,0,6450,0,0
0.4411,760.513366667,833.333333333,0,7200,0,0
0.4551,779.09145,833.333333333,0,7950,0,0
0.4463,781.1175,833.333333333,0,8700,0,0
0.4113,769.346916667,833.333333333,0,9450,0,0
0.5682,832.98155,833.333333333,0,10200,0,0
0.8279,106.664166667,0,0,10200,0,0
0.8636,135.18375,0,0,10200,0,0
0.8416,168.85705,0,0,10200,0,0
0.8618,217.6475,0,0,10200,0,0
0.8623,203.267816667,0,0,10200,0,0
0.9026,0,0,197.1352,9980.96088889,0,0
0.9754,0,0,222.19625,9734.07616667,0,0
1.0002,0,0,236.176233333,9471.65812963,0,0
0.9978,0,0,281.666683333,9158.69514815,0,0
1.0271,0,0,346.04625,8774.19931481,0,0
1.0906,0,0,367.59745,8365.7577037,0,0
0.9376,0,0,395.685166667,7926.10751852,0,0
0.6694,1294.1575,833.333333333,0,8676.10751852,0,0
0.66,1369.77348333,833.333333333,0,9426.10751852,0,0
0.7217,1394.59831667,833.333333333,0,10176.1075185,0,0
0.7308,1245.03053498,693.213868313,0,10800,0,0
0.7534,584.024616667,0,0,10800,0,0
0.7823,629.50685,0,0,10800,0,0
0.8055,673.668333333,0,0,10800,0,0
0.8271,733.783633333,0,0,10800,0,0
0.8519,791.994983333,0,0,10800,0,0
0.8791,835.450833333,-0,0,10800,0,0
0.9024,869.257433333,0,0,10800,0,0
0.9163,912.349166667,0,0,10800,0,0
0.9264,963.018333333,0,0,10800,0,0
0.9462,997.805683333,-0,0,10800,0,0
0.9742,1003.58946667,0,0,10800,0,0
0.9862,1005.9,0,0,10800,0,0
0.976,1024.59816667,0,0,10800,0,0
1.0742,923.155483333,0,0,10800,0,0
1.2313,743.896666667,0,-0,10800,0,0
1.2561,536.1598,0,149.233033333,10634.1855185,0,0
1.2447,702.891,0,0,10634.1855185,0,0
1.2545,725.315,0,0,10634.1855185,0,0
1.2522,726.266933333,0,0,10634.1855185,0,0
1.2881,0,0,710.4002,9844.85196296,0,0
1.3466,0,0,696.953333333,9070.45937037,0,0
1.3523,0,0,703.715433333,8288.55333333,0,0
1.3445,0,0,714.081033333,7495.12996296,0,0
1.3483,0,0,710.66,6705.50774074,0,0
1.349,0,0,696.993133333,5931.07092593,0,0
1.3473,0,0,724.377316667,5126.20724074,0,0
1.3482,0,0,755.985,4286.22390741,0,0
1.3513,0,0,703.86155,3504.15551852,0,0
1.34,0,0,670.445816667,2759.21572222,0,0
1.3489,0,0,693.016666667,1989.1972037,0,0
1.3952,0,0,710.277483333,1200,0,0
1.2226,721.3336,0,-0,1200,0,0
0.9332,725.171666667,0,0,1200,0,0
0.9068,711.818733333,-0,0,1200,0,0
0.9371,701.0101,0,0,1200,0,0
0.9371,712.483333333,0,0,1200,0,0
0.9871,733.620633333,0,-0,1200,0,0
0.7764,660.712266667,0,-0,1200,0,0
0.4209,1380.555,833.333333333,0,1950,0,0
0.3859,1393.52875,833.333333333,0,2700,0,0
0.4368,605.248266667,0,0,2700,0,0
0.4198,1437.86166667,833.333333333,0,3450,0,0
0.4186,1405.48948333,833.333333333,0,4200,0,0
0.4241,1386.11183333,833.333333333,0,4950,0,0
0.4237,1388.035,833.333333333,0,5700,0,0
0.4248,1217.46163333,666.666666667,0,6300,0,0
