date,grid_cost_yuan,base_cost_yuan,breach_cost_yuan,overbuy_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_kwh,start_soc_kwh,end_soc_kwh,unused_plan_kwh,curtailed_pv_kwh,charge_kwh,discharge_kwh,planned_purchase_kwh,planned_cost_yuan,decision_day_planned_purchase_kwh,final_commitment_kwh,reserve_kwh,reserve_effective_kwh,reserve_00_kwh,window_residual_00_kwh,path_up_kwh,path_down_kwh,adjusted_kwh,emergency_slots,reversal_slots,down_slots,below_min_kwh,chain_misprice_yuan,cost_identity_residual_yuan
2025-01-14,72582.2990463,72582.2990463,0,0,1665.64598568,74247.945032,298.251824825,10046.573601,9981.92552519,2667.77095671,0,25237.0178823,20500.1677529,96386.6821946,72582.2990463,96401.79813,96386.6821946,0,0,0,-2282.64472076,0,0,0,12,0,0,0,0,3.18323145621e-12
2025-01-15,71443.4339374,71443.4339374,0,0,9531.38868969,80974.8226271,1553.46793863,9981.92552519,10703.4063572,1112.70329612,0,25926.1030163,20350.8106944,95204.8706127,71443.4339374,94379.1036996,95204.8706127,0,0,0,550.660136788,0,0,0,28,0,0,0,-1.45519152284e-11,-3.63797880709e-12
2025-01-16,71671.1998823,71671.1998823,0,0,4655.65545347,76326.8553357,770.783900191,10703.4063572,10013.6053422,2973.9003105,0,25750.0524156,21478.3633701,95548.9569058,71671.1998823,96341.6231368,95548.9569058,0,0,0,-1996.96686624,0,0,0,26,0,0,0,1.45519152284e-11,6.36646291241e-12
2025-01-17,22611.6063139,22611.6063139,0,0,522.6719458,23134.2782597,196.843212114,10013.6053422,9942.54373556,1219.19584505,1576.60170013,21983.1413,17870.2998989,49400.9092008,22611.6063139,49237.4646465,49400.9092008,0,0,0,-2076.97858399,0,0,0,10,0,0,0,0,3.41060513165e-12
2025-01-18,22176.4885095,22176.4885095,0,0,949.504526191,23125.9930357,252.686515761,9942.54373556,10074.1929011,714.161694343,420.584678429,22630.2124674,18211.9878496,48542.7934915,22176.4885095,48545.740483,48542.7934915,0,0,0,-790.498407339,0,0,0,9,0,0,0,0,4.54747350886e-13
2025-01-19,70127.3176746,70127.3176746,0,0,6700.27654998,76827.5942246,1020.10683991,10074.1929011,9970.0059529,1466.82382601,0,25622.5383735,20848.024336,93904.3704903,70127.3176746,94126.6653759,93904.3704903,0,0,0,-453.827915322,0,0,0,17,0,0,0,-1.45519152284e-11,1.81898940355e-12
2025-01-20,70390.8114835,70390.8114835,0,0,5447.40710445,75838.218588,896.67819674,9970.0059529,10282.1725021,2028.82078082,0,26842.0321423,21461.0961409,94580.1551354,70390.8114835,94533.0263874,94580.1551354,0,0,0,-1291.68922364,0,0,0,22,0,0,0,0,3.63797880709e-12
2025-01-21,68883.349671,68883.349671,0,0,0,68883.349671,0,10282.1725021,10388.3496182,5817.06259257,27.8433333333,22922.9206103,18472.0062899,93771.7249297,68883.349671,93776.2721365,93771.7249297,344.516434312,344.516434312,344.516434312,-5568.43573133,0,0,0,0,0,0,0,0,0
2025-01-22,67194.6973226,67194.6973226,0,0,18167.0841737,85361.7814963,2567.61607353,10388.3496182,9563.03776011,671.426515941,0,23795.0539856,20016.7744006,90780.854394,67194.6973226,90765.8038331,90780.854394,292.980508693,292.980508693,292.980508693,2976.0929665,0,0,0,15,0,0,0,-1.45519152284e-11,0
2025-01-23,69430.0220125,69430.0220125,0,0,14930.2845973,84360.3066098,2174.19203344,9563.03776011,9493.98079273,188.442084358,0,23555.7749308,19142.3289646,91993.6216171,69430.0220125,91977.0367586,91993.6216171,499.124211169,499.124211169,499.124211169,2727.22001183,0,0,0,25,0,0,0,1.45519152284e-11,0
2025-01-24,22462.7132414,22462.7132414,0,0,0,22462.7132414,0,9493.98079273,10023.6765612,1135.00186923,2344.8075893,19537.9458976,15349.0099854,47498.1585207,22462.7132414,47287.1146974,47498.1585207,1856.59606181,1856.59606181,1856.59606181,-3327.18113194,0,0,0,0,0,0,0,3.63797880709e-12,0
2025-01-25,21174.3554656,21174.3554656,0,0,0,21174.3554656,0,10023.6765612,10095.2634005,894.229935822,2305.57091157,20596.220755,16618.5106562,45617.0864128,21174.3554656,45691.0259436,45617.0864128,1421.2840868,1421.2840868,1421.2840868,-3271.06363762,0,0,0,0,0,0,0,-3.63797880709e-12,0
2025-01-26,66892.0202801,66892.0202801,0,0,17110.8043105,84002.8245905,2411.45519059,10095.2634005,9497.87702398,278.343920679,0,22203.3841208,18522.3888767,89246.8740075,66892.0202801,89005.1156012,89246.8740075,985.972111796,985.972111796,985.972111796,3316.93768915,0,0,0,19,0,0,0,-1.45519152284e-11,-7.27595761418e-12
2025-01-27,69533.2533076,69533.2533076,0,0,0,69533.2533076,0,9497.87702398,10512.5600492,2049.42685723,0,20065.9819889,15340.2306883,90970.0949411,69533.2533076,90533.8254331,90970.0949411,2727.22001183,2727.22001183,2727.22001183,-1739.3279036,0,0,0,0,0,0,0,-1.45519152284e-11,0
2025-01-28,65581.2943431,65581.2943431,0,0,8938.58579056,74519.8801336,1300.71963139,10512.5600492,7655.71470791,115.493752119,0,17994.5150442,17146.717993,86642.9705386,65581.2943431,87471.2146128,86642.9705386,2291.90803682,2291.90803682,2291.90803682,3343.11319099,0,0,0,20,0,0,0,-1.45519152284e-11,-7.27595761418e-12
2025-01-29,68828.9419431,68828.9419431,0,0,275.258541377,69104.2004845,39.6816627824,7655.71470791,10398.3277275,3907.95748398,0,20657.3419323,14264.0952476,91646.723556,68828.9419431,91626.6113674,91646.723556,2876.54378463,2876.54378463,2876.54378463,-3913.52258228,0,0,0,2,0,0,0,-4.36557456851e-11,4.88853402203e-12
2025-01-30,65870.534897,65870.534897,0,0,218.615794382,66089.1506913,29.9921397836,10398.3277275,8707.51130194,925.447901667,0,17828.3225762,15962.6760697,86503.6850517,65870.534897,86510.01237,86503.6850517,2826.7691937,2826.7691937,2826.7691937,540.154744622,0,0,0,2,0,0,0,0,-3.63797880709e-12
2025-01-31,21252.1750339,21252.1750339,0,0,0,21252.1750339,0,8707.51130194,9829.42826737,201.152860532,226.551655261,18958.1731281,14346.3949649,43803.805729,21252.1750339,43599.6585779,43803.805729,2776.99460276,2776.99460276,2776.99460276,1942.92714638,0,0,0,0,0,0,0,3.63797880709e-12,0
2025-02-01,20445.7031654,20445.7031654,0,0,0,20445.7031654,0,9829.42826737,10800,1196.92077837,3758.45176195,15748.5144718,11882.7821628,43199.2807827,20445.7031654,42423.1038323,43199.2807827,2727.22001183,2727.22001183,2727.22001183,-3129.82485188,0,0,0,0,0,0,0,3.63797880709e-12,0
2025-02-02,63783.1873594,63783.1873594,0,0,0,63783.1873594,0,10800,10800,5647.77913186,143.102483333,18294.9914577,14818.9430808,87623.2079422,63783.1873594,87796.323844,87623.2079422,2570.36143874,2570.36143874,2570.36143874,-5453.88099766,0,0,0,0,0,0,0,0,0
2025-02-03,62697.2264123,62697.2264123,0,0,0,62697.2264123,0,10800,10787.4712538,1361.36678977,0,19233.8258862,15590.6748394,85221.4343365,62697.2264123,85196.7448622,85221.4343365,2413.50286565,2413.50286565,2413.50286565,-1340.59299571,0,0,0,0,0,0,0,1.45519152284e-11,0
2025-02-04,61923.6107344,61923.6107344,0,0,0,61923.6107344,0,10787.4712538,8833.8167463,1553.69082735,0,20039.0321354,17989.9050864,84797.6818264,61923.6107344,84813.9935383,84797.6818264,2256.64429256,2256.64429256,2256.64429256,316.120402834,0,0,0,0,0,0,0,2.18278728426e-11,0
2025-02-05,60745.0204182,60745.0204182,0,0,1497.73221303,62242.7526312,255.475909882,8833.8167463,8671.03867572,146.68469253,0,21711.527053,17732.8371764,84618.3256425,60745.0204182,84570.3056152,84618.3256425,2099.78571947,2099.78571947,2099.78571947,2053.28535173,0,0,0,8,0,0,0,7.27595761418e-12,-3.63797880709e-12
2025-02-06,60374.4635097,60374.4635097,0,0,388.518942,60762.9824517,54.7670333333,8671.03867572,8229.27109438,185.687147474,0,21542.2261651,17846.7940169,84097.409479,60374.4635097,84921.8127976,84097.409479,2053.28535173,2053.28535173,2053.28535173,1543.70245199,0,0,0,2,0,0,0,-7.27595761418e-12,2.27373675443e-13
2025-02-07,17817.8116356,17817.8116356,0,0,0,17817.8116356,0,8229.27109438,9739.33563315,425.817874325,3547.86146939,20267.4013119,15057.5369778,40989.2233445,17817.8116356,40019.9698687,40989.2233445,2031.21371066,2031.21371066,2031.21371066,-776.371392044,0,0,0,0,0,0,0,-7.27595761418e-12,0
2025-02-08,15638.6948927,15638.6948927,0,0,0,15638.6948927,0,9739.33563315,8566.21947561,1.95077078255,2294.46433831,18495.5091644,16037.1669649,36331.9200252,15638.6948927,37150.2199923,36331.9200252,2009.14206959,2009.14206959,2009.14206959,3357.64983454,0,0,0,0,0,0,0,-3.63797880709e-12,0
2025-02-09,55415.7700605,55415.7700605,0,0,22214.2564402,77630.0265006,3826.13732273,8566.21947561,8219.37908724,2.27373675443e-13,0,18518.570034,15312.198077,78935.6506009,55415.7700605,78280.7684813,78935.6506009,2322.85921577,2322.85921577,2322.85921577,6578.81707591,0,0,0,42,0,0,0,-7.27595761418e-12,3.63797880709e-12
2025-02-10,58329.0692011,58329.0692011,0,0,0,58329.0692011,0,8219.37908724,10022.4909334,2912.10127031,499.663033333,19720.6381334,14350.9162265,83108.1237939,58329.0692011,83074.2513881,83108.1237939,2776.99460276,2776.99460276,2776.99460276,-2596.03630211,0,0,0,0,0,0,0,-7.27595761418e-12,0
2025-02-11,55557.3408121,55557.3408121,0,0,0,55557.3408121,0,10022.4909334,8665.81841678,300.910339352,0,19133.0104206,16718.7437056,77935.7741876,55557.3408121,78776.0728672,77935.7741876,2727.22001183,2727.22001183,2727.22001183,820.270923108,0,0,0,0,0,0,0,0,0
2025-02-12,56688.6574426,56688.6574426,0,0,0,56688.6574426,0,8665.81841678,9602.94589742,729.811372716,163.384283333,21086.1920746,16236.4008479,81009.7230161,56688.6574426,80215.9421559,81009.7230161,2592.43307981,2592.43307981,2592.43307981,218.205614727,0,0,0,0,0,0,0,-7.27595761418e-12,0
2025-02-13,56743.8621106,56743.8621106,0,0,0,56743.8621106,0,9602.94589742,10611.8319,4734.13190898,558.637783333,17876.0816684,13571.628749,80926.7016283,56743.8621106,80918.8855782,80926.7016283,2457.64614779,2457.64614779,2457.64614779,-4789.98630558,0,0,0,0,0,0,0,7.27595761418e-12,0
2025-02-14,16942.8259605,16942.8259605,0,0,0,16942.8259605,0,10611.8319,10464.4650788,185.805930563,4696.76839109,18120.5015439,14810.2363896,37994.6412926,16942.8259605,37802.9888093,37994.6412926,2322.85921577,2322.85921577,2322.85921577,2688.43118512,0,0,0,0,0,0,0,0,0
2025-02-15,17498.0447252,17498.0447252,0,0,0,17498.0447252,0,10464.4650788,10091.6569427,112.565647774,5666.20995249,15871.8763849,13191.7471942,37738.9958909,17498.0447252,37741.375701,37738.9958909,2696.18895046,2696.18895046,2696.18895046,1506.90060267,0,0,0,0,0,0,0,3.63797880709e-12,0
2025-02-16,56265.8887361,56265.8887361,0,0,0,56265.8887361,0,10091.6569427,9764.44324617,236.070206583,0,18072.5755152,14933.2784943,78752.7463276,56265.8887361,79768.6394614,78752.7463276,2688.43118512,2688.43118512,2688.43118512,-118.206763858,0,0,0,0,0,0,0,1.45519152284e-11,0
2025-02-17,55443.377435,55443.377435,0,0,0,55443.377435,0,9764.44324617,9882.14520546,3097.27719001,882.108283333,17322.3834223,13925.1988087,78560.4332536,55443.377435,78550.6502389,78560.4332536,2561.40201844,2561.40201844,2561.40201844,-3588.86174674,0,0,0,0,0,0,0,0,0
2025-02-18,52784.4465815,52784.4465815,0,0,0,52784.4465815,0,9882.14520546,9644.46469813,588.133057005,95.8363106996,17902.8236053,14715.1995769,75962.9811795,52784.4465815,75966.6158624,75962.9811795,2434.37285176,2434.37285176,2434.37285176,-338.3420356,0,0,0,0,0,0,0,0,0
2025-02-19,52391.0385448,52391.0385448,0,0,144.4905,52535.5290448,27,9644.46469813,8477.75405437,522.273266396,0,18384.4276329,15941.425962,75817.6023206,52391.0385448,75805.5468071,75817.6023206,2307.34368509,2307.34368509,2307.34368509,847.444481897,0,0,0,1,0,0,0,7.27595761418e-12,-1.13686837722e-13
2025-02-20,53355.3543997,53355.3543997,0,0,169.469411835,53524.8238115,30.2057591721,8477.75405437,10792.3138942,901.999428563,0,20326.6418134,14381.4760129,77810.0932031,53355.3543997,77018.8867763,77810.0932031,2180.31451841,2180.31451841,2180.31451841,-877.07326624,0,0,0,1,0,0,0,-1.45519152284e-11,3.72324393538e-12
2025-02-21,16331.0289557,16331.0289557,0,0,0,16331.0289557,0,10792.3138942,10083.2149273,547.807534676,7690.50608086,16058.17278,13645.309022,36211.4394069,16331.0289557,36864.8774435,36211.4394069,2053.28535173,2053.28535173,2053.28535173,-769.931577666,0,0,0,0,0,0,0,5.45696821064e-12,0
2025-02-22,16583.3525557,16583.3525557,0,0,0,16583.3525557,0,10083.2149273,9930.86963375,250.135843122,5496.97028413,18218.7167565,14894.271337,36916.3144301,16583.3525557,36910.8701241,36916.3144301,2031.21371066,2031.21371066,2031.21371066,2094.45194741,0,0,0,0,0,0,0,3.63797880709e-12,0
2025-02-23,52824.7871324,52824.7871324,0,0,42.4046456505,52867.1917781,8.20205912002,9930.86963375,9983.39912525,1219.32444927,190.192816356,18712.8808203,15110.1569221,76535.8927881,52824.7871324,76721.5703712,76535.8927881,2077.98530914,2077.98530914,2077.98530914,-1355.5096799,0,0,0,1,0,0,0,-7.27595761418e-12,3.01980662698e-12
2025-02-24,51446.4706386,51446.4706386,0,0,129.766346969,51576.2369856,25.3970734845,9983.39912525,9899.41826907,2416.47098062,1224.35338333,18523.0043735,15079.2163131,75262.2489675,51446.4706386,75240.6447366,75262.2489675,2069.75199,2069.75199,2069.75199,-3288.60496004,0,0,0,1,0,0,0,-2.18278728426e-11,2.10320649785e-12
2025-02-25,49707.2304825,49707.2304825,0,0,159.57954,49866.8100225,31.095,9899.41826907,10627.1901416,2370.53961777,1540.01247557,19153.3865963,14859.2484577,73994.9184653,49707.2304825,73206.874308,73994.9184653,2061.51867087,2061.51867087,2061.51867087,-3652.77930832,0,0,0,1,0,0,0,-7.27595761418e-12,-1.3073986338e-12
2025-02-26,47835.2576169,47835.2576169,0,0,1117.27451437,48952.5321313,228.184472971,10627.1901416,8222.99662966,311.622025474,0,17098.2437048,16013.3515617,69983.177729,47835.2576169,70748.7795096,69983.177729,2053.28535173,2053.28535173,2053.28535173,1781.67519174,0,0,0,6,0,0,0,2.18278728426e-11,-2.72848410532e-12
2025-02-27,47936.9462677,47936.9462677,0,0,15.4445190164,47952.3907868,3.04475485783,8222.99662966,9449.37595884,1052.27803758,0,22073.5374913,16775.8239717,73303.5310023,47936.9462677,72495.1515287,73303.5310023,2031.21371066,2031.21371066,2031.21371066,-17.9243375483,0,0,0,1,0,0,0,-7.27595761418e-12,9.60120871696e-12
2025-02-28,15664.3198963,15664.3198963,0,0,0,15664.3198963,0,9449.37595884,9932.84126782,257.628803511,8887.66191893,17404.0413167,13662.1546884,36179.7709007,15664.3198963,36839.0587981,36179.7709007,2009.14206959,2009.14206959,2009.14206959,1226.86299168,0,0,0,0,0,0,0,5.45696821064e-12,0
2025-03-01,15636.3321158,15636.3321158,0,0,0,15636.3321158,0,9932.84126782,9839.81839302,145.412457792,8843.00028397,17108.5182952,13941.6204064,35814.0765639,15636.3321158,35799.302595,35814.0765639,1987.07042852,1987.07042852,1987.07042852,700.231280186,0,0,0,0,0,0,0,3.63797880709e-12,0
2025-03-02,48060.7811698,48060.7811698,0,0,17488.2165792,65548.9977491,3134.13972034,9839.81839302,8022.29975617,921.254740414,0,16415.2147777,14932.0907431,71628.5461214,48060.7811698,71835.0232522,71628.5461214,1964.99878745,1964.99878745,1964.99878745,4471.60788699,0,0,0,35,0,0,0,-7.27595761418e-12,0
2025-03-03,51233.9698748,51233.9698748,0,0,151.420257794,51385.3901326,30.4167540013,8022.29975617,7905.86114147,669.286356251,0,21627.2398419,17622.8590252,76660.3970523,51233.9698748,76614.5684997,76660.3970523,2053.28535173,2053.28535173,2053.28535173,1268.77442823,0,0,0,3,0,0,0,-1.45519152284e-11,5.62749846722e-12
2025-03-04,52132.8878583,52132.8878583,0,0,0,52132.8878583,0,7905.86114147,10129.0271924,2031.67803328,783.1469,21103.7484047,15093.1867619,78024.8445094,52132.8878583,77218.1833144,78024.8445094,2031.21371066,2031.21371066,2031.21371066,-2156.45450708,0,0,0,0,0,0,0,-7.27595761418e-12,0
2025-03-05,48360.4259693,48360.4259693,0,0,15.83516,48376.2611293,3.28666666667,10129.0271924,9236.07070364,3716.51774351,625.997666667,17278.1390673,14798.9534844,72948.886343,48360.4259693,73752.0583728,72948.886343,2009.14206959,2009.14206959,2009.14206959,-3354.44778482,0,0,0,1,0,0,0,-1.45519152284e-11,1.97530880541e-12
2025-03-06,46150.8325895,46150.8325895,0,0,0,46150.8325895,0,9236.07070364,8555.05064434,823.574491636,803.271483333,18901.0036479,15922.7310081,70545.772748,46150.8325895,69840.9968641,70545.772748,1987.07042852,1987.07042852,1987.07042852,495.150154769,0,0,0,0,0,0,0,7.27595761418e-12,0
2025-03-07,14805.6493849,14805.6493849,0,0,0,14805.6493849,0,8555.05064434,9638.46499454,64.5064388714,10026.0300879,15968.0138428,11959.0182975,35021.8176054,14805.6493849,35572.4533281,35021.8176054,1964.99878745,1964.99878745,1964.99878745,-515.730407469,0,0,0,0,0,0,0,-1.81898940355e-12,0
2025-03-08,13853.0228975,13853.0228975,0,0,0,13853.0228975,0,9638.46499454,9469.05422259,97.5610145137,10049.6525348,17873.5124337,14630.0147661,32453.8507336,13853.0228975,32467.7721523,32453.8507336,1942.92714638,1942.92714638,1942.92714638,-700.891403153,0,0,0,0,0,0,0,-3.63797880709e-12,0
2025-03-09,44094.6625811,44094.6625811,0,0,0,44094.6625811,0,9469.05422259,9322.69526044,1057.1576644,253.332146166,19899.2865962,16250.1452089,68293.1562479,44094.6625811,68448.5368201,68293.1562479,1910.67675546,1910.67675546,1910.67675546,-738.63564847,0,0,0,0,0,0,0,-7.27595761418e-12,0
2025-03-10,44267.1870782,44267.1870782,0,0,19485.178902,63752.3659802,3153.72956004,9322.69526044,7959.09524254,49.0360960828,0,16002.3496457,14189.1432291,66750.5844026,44267.1870782,66744.9540439,66750.5844026,1878.42636453,1878.42636453,1878.42636453,5600.27968475,0,0,0,30,0,0,0,1.45519152284e-11,-1.09139364213e-11
2025-03-11,46312.4872277,46312.4872277,0,0,0,46312.4872277,0,7959.09524254,9351.66527412,1411.62165282,1125.09200875,20246.1598177,15146.0764239,71575.7158554,46312.4872277,70754.5136916,71575.7158554,1987.07042852,1987.07042852,1987.07042852,-1026.62728536,0,0,0,0,0,0,0,2.18278728426e-11,0
2025-03-12,44320.875577,44320.875577,0,0,0,44320.875577,0,9351.66527412,9189.67229715,1437.83400086,1211.61733333,18628.0141212,15234.4851175,68478.5150213,44320.875577,69306.1234657,68478.5150213,1964.99878745,1964.99878745,1964.99878745,-1763.97708139,0,0,0,0,0,0,0,-1.45519152284e-11,0
2025-03-13,43964.1457484,43964.1457484,0,0,16937.3878528,60901.5336012,2714.92850919,9189.67229715,7967.88368582,59.8113237768,0,16323.2117617,14321.4112772,66892.3013158,43964.1457484,66893.0593131,66892.3013158,1942.92714638,1942.92714638,1942.92714638,5067.96948733,0,0,0,25,0,0,0,0,-7.27595761418e-12
2025-03-14,15254.2028618,15254.2028618,0,0,0,15254.2028618,0,7967.88368582,10800,682.168916741,13529.9536817,17582.7933416,11693.157924,36131.1839995,15254.2028618,35157.9126739,36131.1839995,2031.21371066,2031.21371066,2031.21371066,-4608.86804254,0,0,0,0,0,0,0,-5.45696821064e-12,0
2025-03-15,14204.4067559,14204.4067559,0,0,0,14204.4067559,0,10800,9701.84662677,417.012199175,8550.22326145,16464.1405589,14324.2918886,32031.2092809,14204.4067559,32866.8284582,32031.2092809,2009.14206959,2009.14206959,2009.14206959,2281.74921342,0,0,0,0,0,0,0,-5.45696821064e-12,0
2025-03-16,45092.4441417,45092.4441417,0,0,8.0811,45100.5252417,1.64,9701.84662677,10800,873.748991519,322.9277,19661.9406247,14937.8338701,69270.1903795,45092.4441417,68573.0327155,69270.1903795,2069.75199,2069.75199,2069.75199,-1243.49162527,0,0,0,1,0,0,0,7.27595761418e-12,-4.70734562441e-12
2025-03-17,43299.1864054,43299.1864054,0,0,0,43299.1864054,0,10800,10335.8955984,4201.85912463,2585.71143102,15900.3483357,13296.9761134,67249.0742113,43299.1864054,68103.6322975,67249.0742113,2061.51867087,2061.51867087,2061.51867087,-6760.72098779,0,0,0,0,0,0,0,7.27595761418e-12,0
2025-03-18,41601.6911305,41601.6911305,0,0,0,41601.6911305,0,10335.8955984,9481.33485803,652.494372589,0,18415.5723666,15685.7182832,64508.3068226,41601.6911305,63674.4287601,64508.3068226,2053.28535173,2053.28535173,2053.28535173,757.659835625,0,0,0,0,0,0,0,7.27595761418e-12,0
2025-03-19,41087.807937,41087.807937,0,0,0,41087.807937,0,9481.33485803,9880.44790968,590.026352099,0,19372.2214391,15332.2976192,64095.420622,41087.807937,64913.1893468,64095.420622,2031.21371066,2031.21371066,2031.21371066,-672.383007434,0,0,0,0,0,0,0,7.27595761418e-12,0
2025-03-20,41841.1155276,41841.1155276,0,0,1207.73229245,43048.8478201,257.517182727,9880.44790968,8835.01937496,365.080131992,0,18320.0225357,15780.1039351,64856.4433665,41841.1155276,64147.1129076,64856.4433665,2009.14206959,2009.14206959,2009.14206959,1727.99284828,0,0,0,8,0,0,0,0,9.09494701773e-13
2025-03-21,13746.2860573,13746.2860573,0,0,0,13746.2860573,0,8835.01937496,9912.8608832,510.993550948,15913.515308,17087.7564588,12871.0253742,32674.7044602,13746.2860573,33226.0002706,32674.7044602,1987.07042852,1987.07042852,1987.07042852,-3081.5291544,0,0,0,0,0,0,0,3.63797880709e-12,0
2025-03-22,14176.7818948,14176.7818948,0,0,0,14176.7818948,0,9912.8608832,10768.3090097,442.34232262,12521.8691336,17901.7856799,13730.5430869,33016.6537826,14176.7818948,32197.6805741,33016.6537826,1964.99878745,1964.99878745,1964.99878745,1621.39526405,0,0,0,0,0,0,0,0,0
2025-03-23,40168.0589969,40168.0589969,0,0,0,40168.0589969,0,10768.3090097,10673.3568722,819.22442394,0,19466.5125151,15853.3320609,63202.1249948,40168.0589969,63351.0726718,63202.1249948,1942.92714638,1942.92714638,1942.92714638,-923.095693784,0,0,0,0,0,0,0,1.45519152284e-11,0
2025-03-24,39543.3981841,39543.3981841,0,0,0,39543.3981841,0,10673.3568722,9422.57520294,585.842669024,304.845513118,17688.9148532,15453.7245335,61124.3755852,39543.3981841,61960.9601518,61124.3755852,1910.67675546,1910.67675546,1910.67675546,-577.947743949,0,0,0,0,0,0,0,7.27595761418e-12,0
2025-03-25,39591.629365,39591.629365,0,0,8658.82750671,48250.4568717,1581.83147817,9422.57520294,8605.05770697,67.4837247518,0,17240.0365299,14700.1953356,61975.6181576,39591.629365,61382.2243957,61975.6181576,1878.42636453,1878.42636453,1878.42636453,3541.13418782,0,0,0,24,0,0,0,7.27595761418e-12,3.63797880709e-12
