时间,时间标签,时段 t,时段区间,c_t (元/kWh),L_t (kW),P_t^fc (kW),净负荷 (kW),x_t (kW),u_t (kW),v_t (kW),w_t (kW),x_t·Δt (kWh),E_t (kWh)
29,04:50,30,04:50-05:00,0.4395,3571.2635,0.2885,3570.975,3570.975,0.0,0.0,0.0,595.1625,10050.0
30,05:00,31,05:00-05:10,0.4333,3562.3171,18.6781,3543.639,3543.639,0.0,0.0,0.0,590.6065,10050.0
31,05:10,32,05:10-05:20,0.4439,3591.3809,54.4698,3536.9111,3536.9111,0.0,0.0,0.0,589.4852,10050.0
32,05:20,33,05:20-05:30,0.4301,3579.7045,108.9718,3470.7327,3470.7327,0.0,0.0,0.0,578.4554,10050.0
33,05:30,34,05:30-05:40,0.3713,3486.119,184.1603,3301.9587,8301.9587,5000.0,0.0,0.0,1383.6598,10050.0
34,05:40,35,05:40-05:50,0.5708,3823.8994,277.0582,3546.8412,3546.8412,0.0,-0.0,0.0,591.1402,10800.0
35,05:50,36,05:50-06:00,0.9099,4398.0727,388.5494,4009.5233,0.0,0.0,4009.5233,0.0,0.0,10800.0
36,06:00,37,06:00-06:10,0.9368,4454.0123,521.2803,3932.732,0.0,0.0,3932.732,0.0,0.0,10057.4957
37,06:10,38,06:10-06:20,0.8758,4371.7919,672.7677,3699.0242,0.0,0.0,3699.0242,0.0,0.0,9329.212
38,06:20,39,06:20-06:30,0.8759,4392.953,844.2261,3548.7269,0.0,0.0,3548.7269,0.0,0.0,8644.2075
39,06:30,40,06:30-06:40,0.8601,4384.5956,1039.6744,3344.9212,0.0,0.0,3344.9212,0.0,0.0,7987.0359
40,06:40,41,06:40-06:50,0.8442,4434.7757,1259.3375,3175.4382,0.0,0.0,3175.4382,0.0,0.0,7367.606
41,06:50,42,06:50-07:00,0.8334,4523.4561,1508.6318,3014.8243,0.0,0.0,3014.8243,0.0,0.0,6779.5619
42,07:00,43,07:00-07:10,0.8092,4524.0721,1791.4107,2732.6614,0.0,0.0,2732.6614,0.0,0.0,6221.2611
43,07:10,44,07:10-07:20,0.7972,4545.8867,2085.4865,2460.4002,0.0,0.0,2460.4002,0.0,0.0,5715.2127
44,07:20,45,07:20-07:30,0.7644,4523.2418,2381.2611,2141.9807,0.0,0.0,2141.9807,0.0,0.0,5259.583
45,07:30,46,07:30-07:40,0.6899,4383.3566,2683.1752,1700.1814,0.0,0.0,1700.1814,0.0,0.0,4862.9199
46,07:40,47,07:40-07:50,0.86,4910.4599,2986.3552,1924.1047,0.0,0.0,1924.1047,0.0,0.0,4548.0715
47,07:50,48,07:50-08:00,1.1617,5799.7327,3289.204,2510.5287,0.0,0.0,2510.5287,0.0,0.0,4191.7558
48,08:00,49,08:00-08:10,1.1683,5884.826,3593.3613,2291.4647,0.0,0.0,2291.4647,0.0,0.0,3726.8431
49,08:10,50,08:10-08:20,1.0956,5748.0713,3890.7332,1857.3381,0.0,0.0,1857.3381,0.0,0.0,3302.4978
50,08:20,51,08:20-08:30,1.0849,5769.0581,4181.3417,1587.7164,0.0,0.0,1587.7164,0.0,0.0,2958.5463
51,08:30,52,08:30-08:40,1.061,5754.2105,4471.7657,1282.4448,0.0,0.0,1282.4448,0.0,0.0,2664.5247
52,08:40,53,08:40-08:50,1.043,5824.1807,4752.8272,1071.3535,0.0,0.0,1071.3535,0.0,0.0,2427.035
53,08:50,54,08:50-09:00,1.036,5954.2601,5021.9074,932.3527,0.0,0.0,932.3527,0.0,0.0,2228.6362
54,09:00,55,09:00-09:10,1.0147,5958.9696,5285.4126,673.557,0.0,0.0,673.557,0.0,0.0,2055.9783
55,09:10,56,09:10-09:20,0.9922,5929.5554,5543.1742,386.3812,0.0,0.0,386.3812,0.0,0.0,1931.2455
56,09:20,57,09:20-09:30,0.97,5923.7828,5788.4093,135.3735,0.0,0.0,135.3735,0.0,0.0,1859.6934
57,09:30,58,09:30-09:40,0.9422,5907.586,6012.1304,-104.5444,0.0,104.5444,0.0,0.0,0.0,1834.6242
58,09:40,59,09:40-09:50,0.9569,5899.1262,6216.1528,-317.0266,0.0,317.0266,0.0,0.0,0.0,1850.3059
59,09:50,60,09:50-10:00,0.9977,5902.2196,6409.5941,-507.3745,0.0,507.3745,0.0,0.0,0.0,1897.8599
60,10:00,61,10:00-10:10,0.9919,5897.4793,6599.3808,-701.9015,0.0,701.9015,0.0,0.0,0.0,1973.9661
61,10:10,62,10:10-10:20,0.9588,5886.7568,6766.7204,-879.9636,0.0,879.9636,0.0,0.0,0.0,2079.2513
62,10:20,63,10:20-10:30,0.9549,5873.4708,6914.5923,-1041.1215,0.0,1041.1215,0.0,0.0,0.0,2211.2458
63,10:30,64,10:30-10:40,0.9839,5858.0308,7064.2053,-1206.1745,0.0,1206.1745,0.0,0.0,0.0,2367.4141
64,10:40,65,10:40-10:50,0.799,5844.9948,7197.4315,-1352.4367,0.0,1352.4367,0.0,0.0,0.0,2548.3402
65,10:50,66,10:50-11:00,0.5025,5839.0587,7303.1142,-1464.0555,0.0,1464.0555,0.0,0.0,0.0,2751.2057
66,11:00,67,11:00-11:10,0.4662,5838.7103,7387.6848,-1548.9745,3451.0255,5000.0,0.0,0.0,575.1709,2970.8141
67,11:10,68,11:10-11:20,0.5007,5823.4378,7459.227,-1635.7892,0.0,1635.7892,0.0,0.0,0.0,3720.8141
68,11:20,69,11:20-11:30,0.4827,5814.7932,7520.7191,-1705.9259,0.0,1705.9259,0.0,0.0,0.0,3966.1824
69,11:30,70,11:30-11:40,0.4785,5832.3951,7568.2039,-1735.8088,1075.663,2811.4718,0.0,0.0,179.2772,4222.0713
70,11:40,71,11:40-11:50,0.4662,5712.901,7592.1539,-1879.2529,3120.7471,5000.0,0.0,0.0,520.1245,4643.7921
71,11:50,72,11:50-12:00,0.4432,5519.4607,7601.0433,-2081.5826,2918.4174,5000.0,0.0,0.0,486.4029,5393.7921
72,12:00,73,12:00-12:10,0.4411,5494.7907,7612.316,-2117.5253,2882.4747,5000.0,0.0,0.0,480.4124,6143.7921
73,12:10,74,12:10-12:20,0.4551,5514.4524,7602.6524,-2088.2,2911.8,5000.0,0.0,0.0,485.3,6893.7921
74,12:20,75,12:20-12:30,0.4463,5485.829,7554.1872,-2068.3582,2931.6418,5000.0,0.0,0.0,488.607,7643.7921
75,12:30,76,12:30-12:40,0.4113,5462.3628,7472.7384,-2010.3756,2989.6244,5000.0,0.0,0.0,498.2707,8393.7921
76,12:40,77,12:40-12:50,0.5682,5566.1066,7393.4172,-1827.3106,0.0,1827.3106,0.0,0.0,0.0,9143.7921
77,12:50,78,12:50-13:00,0.8279,5725.7548,7312.7979,-1587.0431,0.0,1587.0431,0.0,0.0,0.0,9417.8887
78,13:00,79,13:00-13:10,0.8636,5739.4957,7194.541,-1455.0453,0.0,1455.0453,0.0,0.0,0.0,9655.9452
79,13:10,80,13:10-13:20,0.8416,5714.6836,7053.1371,-1338.4535,0.0,1338.4535,0.0,0.0,0.0,9874.202
80,13:20,81,13:20-13:30,0.8618,5717.8505,6910.4064,-1192.5559,0.0,1192.5559,0.0,0.0,0.0,10074.97
81,13:30,82,13:30-13:40,0.8623,5708.2486,6772.4075,-1064.1589,0.0,1064.1589,0.0,0.0,0.0,10253.8534
82,13:40,83,13:40-13:50,0.9026,5696.9182,6607.36,-910.4418,0.0,910.4418,0.0,0.0,0.0,10413.4772
83,13:50,84,13:50-14:00,0.9754,5692.2983,6412.5085,-720.2102,0.0,720.2102,0.0,0.0,0.0,10550.0435
84,14:00,85,14:00-14:10,1.0002,5687.1291,6214.0158,-526.8867,0.0,526.8867,0.0,0.0,0.0,10658.075
85,14:10,86,14:10-14:20,0.9978,5678.962,6000.7112,-321.7492,0.0,321.7492,0.0,0.0,0.0,10737.108
86,14:20,87,14:20-14:30,1.0271,5669.4508,5766.9816,-97.5308,0.0,97.5308,0.0,0.0,0.0,10785.3704
87,14:30,88,14:30-14:40,1.0906,5664.1948,5521.5066,142.6882,0.0,0.0,142.6882,0.0,0.0,10800.0
88,14:40,89,14:40-14:50,0.9376,5672.7011,5268.781,403.9201,0.0,0.0,403.9201,0.0,0.0,10773.5763
89,14:50,90,14:50-15:00,0.6694,5682.2544,5009.7152,672.5392,672.5392,0.0,0.0,0.0,112.0899,10698.7762
90,15:00,91,15:00-15:10,0.66,5669.0195,4743.4484,925.5711,1600.3962,674.8251,0.0,0.0,266.7327,10698.7762
91,15:10,92,15:10-15:20,0.7217,5656.3651,4471.224,1185.1411,1185.1411,0.0,0.0,0.0,197.5235,10800.0
92,15:20,93,15:20-15:30,0.7308,5657.0867,4188.2025,1468.8842,1468.8842,0.0,0.0,0.0,244.814,10800.0
93,15:30,94,15:30-15:40,0.7534,5662.6008,3889.3931,1773.2077,1773.2077,0.0,0.0,0.0,295.5346,10800.0
94,15:40,95,15:40-15:50,0.7823,5669.2596,3594.5946,2074.665,2074.665,0.0,0.0,0.0,345.7775,10800.0
95,15:50,96,15:50-16:00,0.8055,5673.4767,3303.8878,2369.5889,2369.5889,0.0,0.0,0.0,394.9315,10800.0
96,16:00,97,16:00-16:10,0.8271,5671.0146,2998.4247,2672.5899,2672.5899,0.0,-0.0,0.0,445.4317,10800.0
97,16:10,98,16:10-16:20,0.8519,5661.5926,2687.4131,2974.1795,2974.1795,0.0,-0.0,0.0,495.6966,10800.0
98,16:20,99,16:20-16:30,0.8791,5665.8922,2383.1779,3282.7143,3282.7143,0.0,-0.0,0.0,547.119,10800.0
99,16:30,100,16:30-16:40,0.9024,5689.0372,2089.1246,3599.9126,3599.9126,0.0,-0.0,0.0,599.9854,10800.0
100,16:40,101,16:40-16:50,0.9163,5603.6614,1791.0829,3812.5785,3812.5785,0.0,-0.0,0.0,635.4297,10800.0
101,16:50,102,16:50-17:00,0.9264,5466.7124,1501.7283,3964.9841,3964.9841,0.0,-0.0,0.0,660.8307,10800.0
102,17:00,103,17:00-17:10,0.9462,5467.3939,1255.1723,4212.2216,4212.2216,0.0,-0.0,0.0,702.0369,10800.0
103,17:10,104,17:10-17:20,0.9742,5464.727,1036.3323,4428.3947,4428.3947,0.0,-0.0,0.0,738.0658,10800.0
104,17:20,105,17:20-17:30,0.9862,5492.4458,836.7775,4655.6683,4655.6683,0.0,-0.0,0.0,775.9447,10800.0
105,17:30,106,17:30-17:40,0.976,5621.7308,665.2313,4956.4995,4956.4995,0.0,0.0,0.0,826.0832,10800.0
106,17:40,107,17:40-17:50,1.0742,5091.2126,516.6758,4574.5368,4574.5368,0.0,-0.0,0.0,762.4228,10800.0
107,17:50,108,17:50-18:00,1.2313,4208.5688,386.6731,3821.8957,3821.8957,0.0,-0.0,0.0,636.9826,10800.0
108,18:00,109,18:00-18:10,1.2561,4122.7611,275.7933,3846.9678,3191.3643,0.0,655.6035,0.0,531.894,10800.0
109,18:10,110,18:10-18:20,1.2447,4255.9358,182.9526,4072.9832,4072.9832,0.0,0.0,0.0,678.8305,10678.5919
110,18:20,111,18:20-18:30,1.2545,4225.9524,108.3414,4117.611,4117.611,0.0,0.0,0.0,686.2685,10678.5919
111,18:30,112,18:30-18:40,1.2522,4233.3384,54.3121,4179.0263,4179.0263,0.0,0.0,0.0,696.5044,10678.5919
112,18:40,113,18:40-18:50,1.2881,4246.4625,18.6569,4227.8056,0.0,0.0,4227.8056,0.0,0.0,10678.5919
113,18:50,114,18:50-19:00,1.3466,4239.1795,0.2753,4238.9042,0.0,0.0,4238.9042,0.0,0.0,9895.665
114,19:00,115,19:00-19:10,1.3523,4244.6684,0.2296,4244.4388,0.0,0.0,4244.4388,0.0,0.0,9110.6827
115,19:10,116,19:10-19:20,1.3445,4251.9187,0.6007,4251.318,0.0,0.0,4251.318,0.0,0.0,8324.6755
116,19:20,117,19:20-19:30,1.3483,4256.6813,0.0,4256.6813,0.0,0.0,4256.6813,0.0,0.0,7537.3944
117,19:30,118,19:30-19:40,1.349,4267.3947,0.0,4267.3947,0.0,0.0,4267.3947,0.0,0.0,6749.1201
118,19:40,119,19:40-19:50,1.3473,4269.975,0.0,4269.975,0.0,0.0,4269.975,0.0,0.0,5958.8618
119,19:50,120,19:50-20:00,1.3482,4268.6702,0.0,4268.6702,0.0,0.0,4268.6702,0.0,0.0,5168.1257
120,20:00,121,20:00-20:10,1.3513,4282.2245,0.0,4282.2245,0.0,0.0,4282.2245,0.0,0.0,4377.6312
121,20:10,122,20:10-20:20,1.34,4291.7049,0.0,4291.7049,0.0,0.0,4291.7049,0.0,0.0,3584.6267
122,20:20,123,20:20-20:30,1.3489,4291.3611,0.0,4291.3611,0.0,0.0,4291.3611,0.0,0.0,2789.8665
123,20:30,124,20:30-20:40,1.3952,4293.9182,0.0,4293.9182,0.0,0.0,4293.9182,0.0,0.0,1995.17
124,20:40,125,20:40-20:50,1.2226,4295.2135,0.0,4295.2135,4295.2135,0.0,-0.0,0.0,715.8689,1200.0
125,20:50,126,20:50-21:00,0.9332,4302.0307,0.0,4302.0307,4302.0307,0.0,0.0,0.0,717.0051,1200.0
126,21:00,127,21:00-21:10,0.9068,4320.9618,0.0,4320.9618,4320.9618,0.0,0.0,0.0,720.1603,1200.0
127,21:10,128,21:10-21:20,0.9371,4302.3292,0.0,4302.3292,4302.3292,0.0,0.0,0.0,717.0549,1200.0
128,21:20,129,21:20-21:30,0.9371,4322.6758,0.0,4322.6758,4322.6758,0.0,0.0,0.0,720.446,1200.0
129,21:30,130,21:30-21:40,0.9871,4428.8083,0.0,4428.8083,4428.8083,0.0,-0.0,0.0,738.1347,1200.0
130,21:40,131,21:40-21:50,0.7764,4030.1614,0.0,4030.1614,4030.1614,0.0,-0.0,0.0,671.6936,1200.0
131,21:50,132,21:50-22:00,0.4209,3362.7419,0.0,3362.7419,8362.7419,5000.0,0.0,0.0,1393.7903,1200.0
132,22:00,133,22:00-22:10,0.3859,3309.3934,0.0,3309.3934,8309.3934,5000.0,0.0,0.0,1384.8989,1950.0
133,22:10,134,22:10-22:20,0.4368,3412.9563,0.0,3412.9563,3412.9563,0.0,0.0,0.0,568.826,2700.0
134,22:20,135,22:20-22:30,0.4198,3381.9313,0.0,3381.9313,8381.9313,5000.0,0.0,0.0,1396.9886,2700.0
135,22:30,136,22:30-22:40,0.4186,3386.5592,0.0,3386.5592,8386.5592,5000.0,0.0,0.0,1397.7599,3450.0
136,22:40,137,22:40-22:50,0.4241,3400.4846,0.0,3400.4846,3400.4846,0.0,0.0,0.0,566.7474,4200.0
137,22:50,138,22:50-23:00,0.4237,3399.2426,0.0,3399.2426,8399.2426,5000.0,0.0,0.0,1399.8738,4200.0
138,23:00,139,23:00-23:10,0.4248,3406.9809,0.0,3406.9809,3406.9809,0.0,0.0,0.0,567.8302,4950.0
139,23:10,140,23:10-23:20,0.424,3416.1518,0.0,3416.1518,5416.1518,2000.0,0.0,0.0,902.692,4950.0
140,23:20,141,23:20-23:30,0.422,3421.9811,0.0,3421.9811,8421.9811,5000.0,0.0,0.0,1403.6635,5250.0
141,23:30,142,23:30-23:40,0.424,3429.6923,0.0,3429.6923,3429.6923,0.0,0.0,0.0,571.6154,6000.0
142,23:40,143,23:40-23:50,0.4271,3439.061,0.0,3439.061,3439.061,0.0,0.0,0.0,573.1768,6000.0
143,23:50,144,23:50-24:00,0.4276,3444.7259,0.0,3444.7259,3444.7259,0.0,0.0,0.0,574.121,6000.0
144,24:00,,,,,,,,,,,,6000.0
